,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 04/28/17 08:08 AM (PDT),Garrett Stites ,2015 Ferrari 458 Italia Convertible Spider 2dr Convertible (4.5L 8cyl 7AM),The best car around!, This car gets great gas mileage and is the best car you could buy.,5
1, on 11/19/11 16:47 PM (PST),debu99 ,2006 Ferrari 612 Scaglietti Coupe F1 2dr Coupe (5.7L 12cyl 6AM),keeps on beeing just great," Owning the 612 now over 3 years and using it in evey day traffic it just keeps on being great,The paint job is the only problem, technical it's fantastic and by far the best car i ever owned..",4.75
2, on 06/28/07 22:12 PM (PDT),Arnell Baylet ,2006 Ferrari 612 Scaglietti Coupe F1 2dr Coupe (5.7L 12cyl 6AM),"Incredible Ride, Sticker Shock, Low MPG"," Best controllable acceleration ever witnessed in a vehicle.  Breaking is mind blowing.  Handling exceptional (except tears through $400 tires). Seat comfort and visibility are the best I have witnessed in Ferrari lineup, and I am lucky enough to have owned 3 prior.",5
3, on 05/30/07 10:56 AM (PDT),gregMTU ,2006 Ferrari 612 Scaglietti Coupe F1 2dr Coupe (5.7L 12cyl 6AM),612 Scag The Best!," The engine is strong pulling right up to 7000 rpm, handling is excellent, yet remains fairly quiet interior wise unlike our former Aston.   612 really is an enjoyable car!",5
4, on 01/21/07 12:58 PM (PST),Darrel McOnnery ,2006 Ferrari 612 Scaglietti Coupe 2dr Coupe (5.7L 12cyl 6M),612 Scaglietti! Quietly the Best Ferrari Ever!," This car, the 612 Scaglietti,  is overlooked compared to the Spider and Enzo, however it performs better than any Ferrari I have ever owned or driven in.  People go nuts over this car when you ""run it."" It has the comforts of a Cadillac, yet the performance of a Viper.   I am truly extremely satisfied with this Ferrari.",5
5, on 01/02/07 12:40 PM (PST),Don Brodie ,2006 Ferrari 612 Scaglietti Coupe 2dr Coupe (5.7L 12cyl 6M),612 After One Year," The reliability of this car is only fair. I initially had severe computer problems that started the car on 6-cylinders and after two minutes switched to 12 cylinders. The car shook and sputtered for those two minutes. This was corrected after two visits in which a computer re-programming took place. Now I have my check engine light constantly flashing even after being deactivated, twice. It again recently activated, and I have to bring it in again for the third time. ",4.5
6, on 04/28/06 14:26 PM (PDT),Stephano ,2006 Ferrari 612 Scaglietti Coupe 2dr Coupe (5.7L 12cyl 6M),Exquisite," I have had this top of the line Ferrari and it's the best of the three that I've had. I wanted to get an Enzo, but it is too much money. The 612 Scaglietti is nicer and cheaper. I also have a Bentley GT which drives much better.",4.875
7, on 03/29/06 13:42 PM (PST),Mike ,2006 Ferrari 612 Scaglietti Coupe F1 2dr Coupe (5.7L 12cyl 6AM),Not an everyday car," I just purchased this Black on Black with yellow stiching 612 and it is EXCELLENT! Peoples' jaws drop and heads are flying from all directions when I drive by. The exterior is great with side scallops which look great and lines that cut between the headlamps. The rear trunk has two additional storage compartments which is great. The interior is supperb with automatic climate control, automatic headlamps, rain sensing windshield wipers, electric seats, heated seats, electric mirrors, and rear seats are just as comfortable as the front ones. I warn you though this is not an everyday car, considering I payed over $300,000 dollars it. The steering mounted sport button is 10 times better than normal auto.",4.875
8, on 03/04/06 10:57 AM (PST),Keith Ricards ,2006 Ferrari 612 Scaglietti Coupe F1 2dr Coupe (5.7L 12cyl 6AM),612 Ferrari is Fabulous!," This is the first Ferrari I have owned where the ride can be tolerated everyday, yet performance was not sacrificed.  It is a very enjoyable car, I cannot think of anything else I would want to drive right now.",5
9, on 08/23/07 11:56 AM (PDT),TireSavr ,2007 Ferrari 612 Scaglietti Coupe F1 2dr Coupe (5.7L 12cyl 6AM),612 Incredible! With backseat!!," If you have any family or friends, forget about the 599.  Yes it's an incredible vehicle, but performance is nearly identical with 612, and you can bring others with you comfortably.  Extremely happy with the Ferrari, more so than any of the previous ""3"" we owned over an eleven year span.",5
