,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 07/24/18 09:42 AM (PDT),Joe ,2017 FIAT 124 Spider Convertible Abarth 2dr Convertible (1.4L 4cyl Turbo 6M),Fantastic Car-Unsolvable Safety Issue," The Abarth handles like a dream, shifts smart and easy, looks like great, and keeps driving simple. You get looks and comments from little kids, middle aged wives, and grandfathers. Everybody looks the looks of this Italian sweet heart. But an unsolvable problem plagues this beauty. My 124 spider Abarth's alarm has gone off randomly while driving. I drove her for a few months and it went off numerous times driving under various conditionsShe has been at three dealers with no success yet. This makes her not drivable. FCA is currently investigating numerous similar complaints with no resolution. I hope they can fix her.",5
1, on 06/08/18 14:19 PM (PDT),John Hunter ,2017 FIAT 124 Spider Convertible Lusso 2dr Convertible (1.4L 4cyl Turbo 6M),Honeymoon never ends, I have had this for a year now and still love it as much as the day I drove it off the lot. No issues since day 1!,5
2, on 05/31/18 06:08 AM (PDT),BJ ,2017 FIAT 124 Spider Convertible Lusso 2dr Convertible (1.4L 4cyl Turbo 6M),"love this car, kid again!"," havin a blast! gotta remind myself to be careful because it takes off like a rocket and handles like its riding on rails. just purchased 2 months ago , so don't have any comments regarding durability or reliability but so far its great. would recommend for anyone havin a midlife crisis , lol.",5
3, on 04/03/18 09:56 AM (PDT),Michael Lang ,2017 FIAT 124 Spider Convertible Abarth 2dr Convertible (1.4L 4cyl Turbo 6M),8 Months research and finally bought the ABARTH," I had concerns over buying a FIAT. Lets face it, lemons are common but some get real good 500 ABARTHS that work well. The fact that Mazda was building the 124 inspired me to look past this. The car itself is 100 times more beautiful that the Miata version. My sticking points were ABARTHs comming to US had FIAT badge on wheel. As of March 2018 that has changed. Abarths now have proper abarth badging on the interior for 2018 but you have to look around as there are many older versions on lots. Next sticking point was that Miata's got the Retractable Fastback and FIAT's did not. What is more Italian that the RF top. Looks like the 70's Targa tops. Fiat could have branded it a Targa and they would not have been able to keep them in stock. I know all my friends were hoping for this as well. UGH! So I bought the ARARTH in Black. Wow the color is so deep and rich in the sunlight. Pictures do not do this car justice. Must see in person. My ABARTH is a bit rough in 1st gear for a manual. Been driving manuals all my life. This one I stalled 4 times on way home from dealer. The car wants to go. Low RPMs the car lags a bit and begs you to let it breath. There are two essential tweaks that fix this. One the DV+ diverter valve allows more low end and solves some issues with the cheap plastic diverter valve that comes from the factory which is either open or closed.... No in between. This DV+ also helps prevent turbo flutter which is potentially damaging buy allowing flow the turbo air flow back though the valve as the turbo winds down between shifts. Much healthier.. Second as the high pressure through the lines can bring with it some oil, it is good to add an oil catch can on these cars to reduce the amount of oil that can get back to the throttle and multiair unit which can be damaging over time. These two changes do help the car become more bullet proof. The car shifts great and has power.. Much more than the miata which I drove several times in my search trying to decide whether to drop the Fiat and just get the targa I love and deal with the angular futurist look of the miata rather than classic Italian beauty. I got the loaded version. I suggest just getting it with all options. Bose system is awesome, Navigation is easy. While touch is disabled when the car is moving, it is easy to manage shifting and using the dial to change channels etc. so the Tech in the car is great. Was able to save all my Sirius Channel Favs on way home from dealer lot. ABARTH sounds great in either Sport of Normal. Noted the Sport mode dials up the performance a bit which did feel more responsive. Im about 5 foot 10 inches tall and hover around 200 pounds and I fit comfortably in the car. If someone is over 6 foot they may find it cramped. I love the gauges and Abarth logos on seats and steering. It gives the car uniqueness and people have no clue what the car is when they see it which Scorpion badges all over it. I was asked at a gas station if it was a Ferarri. Lol I wish. Car takes corners like a champ and those Brembo Brakes really work well. I know that squirrel thanks FAIT for its life. Convertible top is same as Miata and is sooo easy to put up or take down. Chrysler and many aftermarket sites are selling a lot of after market upgrades so this car is very good if you want to make it a track car. But.. I only bought the two items i spoke of earlier. Abarth already has limited slip diff, Front and rear anti sway bars, Front and rear strut tower braces, Brembo brakes, and a killer sounding exhaust etc.. so its more performance than most people need. Im getting around 30 MPG average which totally surprised me. In summary, this car is more than I could have hoped for. I would like to see an aftermarket company make a targa top for this car but outside of that. Its my childhood dream of owning that Triumph TR7 or Fiat X 1/9 Bertone Targa car that I could never find married to modern day conveniences. I want to slap myself for even considering buying that Miata. I would have never forgiven myself. :) I am living my childhood dream of owning and driving a EURO roadster even if it is a Miata in Drag.",5
4, on 03/21/18 21:35 PM (PDT),steveromo ,2017 FIAT 124 Spider Convertible Lusso 2dr Convertible (1.4L 4cyl Turbo 6M),"I now love spiders, 124 Spiders!"," Know that interior storage space is minimal.  Yet every time I drive this vehicle, I love it just a little more, than the last time I drove it. The wife is now banned from riding in it. My grandson and great nephew concur, that my 124 Spider Lusso is awesome. Top down is a must.",5
5, on 01/04/18 18:56 PM (PST),Pat M ,2017 FIAT 124 Spider Convertible Classica 2dr Convertible (1.4L 4cyl Turbo 6M),Great car, 3 season car - stored in the winter - great little roadster,5
6, on 12/22/17 08:46 AM (PST),Leslie Shopf ,2017 FIAT 124 Spider Convertible Lusso 2dr Convertible (1.4L 4cyl Turbo 6M),Fiat spider part 2," I had a spyder 20+ years ago that was very fragile and had lots of problems. This car is 180 degrees from that. With the exception of the cup holders and glove box which are awkwardly placed, there is nothing I would change. I feel such joy and satisfaction every time I am in this car.",5
7, on 11/09/17 17:58 PM (PST),Harry ,2017 FIAT 124 Spider Convertible Lusso 2dr Convertible (1.4L 4cyl Turbo 6M),Fun drive/eye-catching ride not w/o minor glitches," This vehicle is a lot of fun to drive and great to look at inside and out!  The seats are comfortable but a tight fit with just enough leg room for an average size person.  If you are really tall or maybe a little rotund, you are out of luck if you want to drive this car!  After driving this little convertible sports roadster over 2,000 miles, I have had a lot of smiles on my face but also a couple of frowns.  My vehicle came equipped with high performance three season tires which do perform very well when the temperature is above 40 deg. F, but if you live where winter temperatures dip below 40, you have to switch out these tires for all-season or snow tires... an extra expense.  Otherwise, it must be garaged during very cold wintry days.  I replaced the factory equipped tires with high performance all-season tires and they have performed very well for me even in the cold winter months.   Also, the instrument panel's outdoor temperature display at any outside temperatures is pretty much a joke.  It's response is very, very slow and you have to maintain a minimum speed for an extended period of time for it to properly function.  Finally, sometimes the automatic transmission is slow to shift but you do have the option to manually shift but no shift paddles on the Lusso trim.",4
8, on 10/09/17 07:06 AM (PDT),Marvin Goodpickle ,2017 FIAT 124 Spider Convertible Classica 2dr Convertible (1.4L 4cyl Turbo 6M),"So far, so good!"," I haven't owned a ""roadster"" since I ditched my 2000 Miata back in 2011 because it was nickle and diming me to death. This 2017 Fiat Spider blew me away. I was seriously considering a Miata again, but after I read a pile of reviews and took several test drives, I was hooked on the Spider. (Plus the local Mazda dealer was jerking me around). Granted, Fiat skimped on the ""Mattel-made"" sun visors and the bland, colorless instrumentation (not even a red line on the tach), overall, it's very easy on the eyes, very well made, and with enough accoutrements or lack thereof to meet most-but not all-budgets. My main complaint is the noise at highway speeds. They indicate in their marketing that it's quieter than a Miata, but it's definitely more noisy than my 2000. The radio is pretty useless at highway speeds, unless you have a headset. At first, I was taken back by not having a spare, but I suppose the fix-the-flat stuff in the trunk will work OK. (Maybe I should read the directions before I need it...?). Oh yeah, and it's a blast to drive. For an aging grown-up, the fit is snug but comfortable, the steering and handling are great, and it has MORE than enough power to get me very quickly from point A to B in style without acquiring too many tickets-I hope!",5
9, on 09/16/17 12:48 PM (PDT),T P G ,2017 FIAT 124 Spider Convertible Classica 2dr Convertible (1.4L 4cyl Turbo 6M),Great sporty car for life in the CA desert," The more appealing look of this car compared to the Miata sold me on it.  I'm over 6 feet tall, and can't put the seat all the way back and fully depress the clutch.  While not roomy, the cabin isn't as small as professional reviewers would lead you to believe, with a surprisingly comfortable ride given the short wheelbase.  It's a bit of a drop to get in, as the car sits low to the ground, but the seat side bolster doesn't hinder access.  Exiting the car is much easier if you're able to open the door fully, as it swings out very wide.  The instruments are easy to read and well lit at night.  When the top is up, there are two pronounced blind spots behind the driver.  If this concerns you, opt for the version with parking sensors, etc.  The radio is nothing terrific, but again, it's much better than I anticipated.  Choose the larger radio touchscreen if your eyesight needs assistance.  Premium gas is recommended, but not required.  So far, I am perfectly happy with my Rosso Classica with Technology Package.",5
