,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 04/19/18 05:08 AM (PDT),gaboy ,2017 INFINITI QX70 SUV 4dr SUV (3.7L 6cyl 7A),Best deal i've ever gotten," I have a good friend who has a 2014 version under the old nomenclature, and while I originally thought the car was a little odd looking (i still do), i really enjoyed riding in it.  I finally decided to get a new car in 2017 and after looking at all the midsize SUV's available, i drifted over to the Qx70 because i wanted something fun to drive and the car had gone out of production so i felt i could get a good deal on one.  I actually got a spectacular deal on a CPO with 4400 miles on it ($36K for a car with a $52K sticker) and 42 months of mfer warranty left.  It was a corporate owned vehicle used by a Nissan exec.  My gain points out a negative- this vehicle really depreciates in its first year- so if you buy one you need to keep it.   I purposely stayed away from the sport and limited because the 18 inch wheel has a lot more air and rubber on the wheels vs the 20/21 inch wheels - it makes a difference in softening the ride. I think the big wheels look great but i wanted a more standard issue tire.   The technology is old but proven- no trips to the dealership for bugs in the driver assist functions or transmission. Nav has both touchscreen and button panel- its a little far away for touchscreen when driving but buttons are intuitive.  The car drives wonderfully.  The responsiveness is off the charts and the rear-wheel drive acceleration is smooth and powerful.  I just love driving it and it is more comfortable than i expected.  The biggest negative is the fuel economy- 17/21 with premium fuel adds up.  But i knew that going in and the deal i got will pay for a lot of fuel!   GREAT CAR!!!",5
1, on 01/24/18 10:01 AM (PST),Jeff ,2017 INFINITI QX70 SUV 4dr SUV (3.7L 6cyl 7A),My QX 70 Baby, Wonderful SUV and u feel like a million bucks driving it!!!!,5
2, on 09/17/17 17:45 PM (PDT),Justine ,2017 INFINITI QX70 SUV 4dr SUV AWD (3.7L 6cyl 7A),My 3rd one!," I love this car so much, I've owned 3.  Although the 1st two were the FX37, my 3rd one, the QX70 is the same vehicle with just a name change.  The only thing I would like to see would be an upgraded technology package to stay aligned with its closest SUV competitors, the BMW and Volvo.",5
3, on 05/13/17 05:46 AM (PDT),Ron ,2017 INFINITI QX70 SUV 4dr SUV AWD (3.7L 6cyl 7A),Love the look. Hate the car, Ride is stiff. rattles my dentures. No room in the rear. I'm a big guy so this has made my car a three seater. Not enough space between brake and accelerator. my foot often is partially on both which is a hazard waiting to happen. The gas mileage  sucks. I'm only getting 10 mpg. Well below the advertised amount. This was my dream car since the FX35 first came out. My dream has turned into a nightmare.,4
4, on 01/30/17 09:24 AM (PST),JWK ,2017 INFINITI QX70 SUV 4dr SUV AWD (3.7L 6cyl 7A),Meh...not really that impressed," I rented this car and spent 900 miles in it (I got in with 8 miles, returned with 908).  Overall, I was expecting better.  Cabin was nice and well appointed.  Buttons were easily placed and generally everything was intuitive and easy to use.  Given that it was January and I was in northern Minnesota, I was impressed by the stability control intervention, which was quick and predictable when cornering and the rear started to break away.  Kept me on the road pointed the right direction, and there was no tire spinning or anything.  As with a lot of Infiniti SUVs, the cabin is a bit claustrophobic and outward visibility is below average.  I really had to crane my neck to look over my shoulder and around blind spots.  If road conditions were at all undulating, the ride was very jumpy and uncomfortable.  You could really see it when the headlights were on; they were bobbing up and down and all of that was transmitted into the cabin.  The USB integration was sporadic.  Sometimes it would start up right away, others it would get stuck on ""reading file"" and require a lot more monkeying around with it before music would play.  But what was most noteworthy, in a negative sense, was the gas mileage.  I drove the 900 miles in less than a week, so my driving was mostly highway.  Yet it returned below 20 mpg as an average.  For a 20+ gallon tank, range was *barely* 400 miles.  I'm not a rocket accelerator, nor do I drive like a speed demon (on the interstate, I have the cruise pegged right around the speed limit).  Add to that the engine requires premium gasoline.  In this day and age, for a smaller SUV, that kind of mileage is flat-out poor.  On the same route with my Cayenne and driving the same style, I get 24-25 mpg.  As a result, I would say that while there are some things to like about the QX70, there are much better options out there.",3
5, on 11/28/16 20:07 PM (PST),Don Finley ,2017 INFINITI QX70 SUV 4dr SUV (3.7L 6cyl 7A),2017 QX70 Limited," Owned a 2004 FX35, was the best car I've ever owned, had 240K mi when I hit a deer squarely front and center, airbags deployed, and insurance totalled the car.  Besides cosmetic damage after hitting the deer while traveling 75 mph, there was no structural or mechanical damage. I drove it home with the deflated airbags flapping.  Would not have survived in a smaller, lower vehicle. This is the first time I've bought the same car again, just a newer version. The car is gorgeous, powerful, loaded and comfortable. Already took it on T-giving trip from FL to KY.  Technology is well placed and easy to access, phone is sync'd via bluetooth, and USB cord adds all my music on board. SAT, AM, FM and aux are a simple push of a button, all with great sound. It doesn't lack anything I want, except the middle retractable cup holder on the floor in the back that the FX35 had. The gearing is growing on me; it revs high at start out in low gears, near 3000, then shifts to around 2000.  Different from the FX35, but still smooth and powerful. 21 inch tires on dark grey wheels looks awesome, and handles like a sports car.  Very happy!8 months later, I wouldn't change a thing, except the phone via bluetooth . . . it takes voice commands, then asks me to verify it got it right by picking a number, and it displays 5 names from my contact list, and the one I want is always #1.  I wish I could bypass the verification and have it just call.  I also added 3M clear bra to the front, mirrors, and door handles.  Great product, protects from bug chips and can't see it except up close if you're looking for the line across the hood.Just over a year later, still love it.  Some quirky anomalies have started with the music / phone interface, but I haven’t been able to get it to the dealer to check it out. Still works, but sometimes differently than it should.  Just over 29K miles, and with oil changes, tire balance, rotation and front end alignment every 5K miles, it drives like new, still looks brand new, and my daughter says it still smells new.  Lost count of how many strangers have commented on how beautiful the car is.  Just bought an ‘18 Mercedes GLA 250 for my wife, and the salesman had to go outside and drool over it, and he had a $337K Maybach in his showroom.  This Infiniti QX 70 Limited, in my opinion, is the star of the entire Nissan/Infiniti menu.",5
6, on 10/10/17 10:05 AM (PDT),HD ,2014 INFINITI QX70 SUV 4dr SUV AWD (5.0L 8cyl 7A),Fastest naturally aspirated SUV (still!)," 0-60 in 4.8 seconds.  *This* is the first stat potential FX50 or V8 QX70 owners should consider.  Handles like it's velcroed to the road, especially in the rain.  Firmly pegged on the ""Sport"" end of the SUV spectrum, these unique finds benefit significantly from a more involved driver's hand.  While clearly geared toward fuel economy--I've observed a surprising 19.5 MPG over three months'-worth of mixed driving, the seven-speed's ""Drive Sport"" mode is a must-engage when turning onto the twisties.  But only full manumatic, keeping RPMs above 3k, unleashes the bionic cheetah within.  This is my third Nissan-sourced V8 and a more Ferrari-esque take in terms of factory tuning for horsepower over torque.  That said: you will feel the extra hundred foot-pounds of twist, compared to the 3.5 or 3.7 sixes, with any significant change in elevation. And despite a somewhat CX-yawn exterior, the 2014's enlarged grill (masking dual engine air intakes), 21"" custom Enkei rims, and 5.0 side badges subtly communicate that this beast shares 370Z & GT-R DNA and would best be left to prowl far afield from the minivan-ified crossover herd.",5
7, on 12/15/16 18:17 PM (PST),albert schreiber ,2014 INFINITI QX70 SUV 4dr SUV (3.7L 6cyl 7A),when you hit passing gear about 60 mph  hang on, it is a great car this is my third  2 fx35    1qx70 none have ever been a shop!!,5
8, on 11/19/16 05:13 AM (PST),StasB ,2014 INFINITI QX70 SUV 4dr SUV AWD (5.0L 8cyl 7A),Fantastic vehicle," This is not my first Infiniti, I had over 190k on my old 09 fx35 and never had any issues with it, I am very confident in my choice over others. From my impressions this vehicle offers very engaged driving experience which no other car in this price category can offer, very unique and beautiful design inside and out in my opinion, and great performance to back up the package. Avg mpg on 5.0 v8 is 18.2",5
9, on 07/21/16 09:33 AM (PDT),Beth Ann ,2014 INFINITI QX70 SUV 4dr SUV AWD (3.7L 6cyl 7A),Love it!," Beautiful, comfortable car with all the bells and whistles.  Wish it had better gas mileage and more cargo space like my CRV did but other than that - it's perfect!",5
