,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 05/07/15 14:32 PM (PDT),rick161 ,1999 Jaguar XK-Series Coupe XK8 2dr Coupe,Champagne motoring for fish 'n chips money.," My '99 XK8 convertible is my dream car, after 40 years of Jags, BMWs, Mercedes, etc. The key to happy motoring with these cars is 1) inform yourself about the issues, mainly the 4.0 liter's needs re upgraded timing chains, tensioners & water pump, and 2) have a local Jaguar specialist (not dealer) who can bring them up to standard & maintain them there. My XK8 cost me $5800 in 2015 with perfect body & interior, no accidents and with the engine upgrades already done & convertible top hydraulic lines replaced. After new tires, shocks, motor mounts, front brakes, mass airflow meter, valve cover gaskets, plugs & filters, she now runs & drives like new for a total all-in price of around $11k. I couldn't be happier.UPDATE: 15 months into ownership of my '99, I've spent very little on the car except for oil & gas. Classic/specialty auto insurance (Hagerty) has reduced the cost of comprehensive insurance to less than $400 annually on an agreed value of $15k. Costs since the initial review have been limited to a new Jaguar ignition coil ($128) & professionally repainting the front & rear bumpers (approx. $600), a project I intended since purchase. There have been no other costs; everything works great on the car & it runs & drives beautifully. I still marvel at how much car you get with the XK8, compared with much more expensive GTs like an Aston Martin DB7 or (especially now) Porsche 911. It took nearly 20 years for the XK8's predecessor, the XJS, to begin to appreciate in value, so it will be awhile before XK8 values start climbing. In the meantime, buy the best accident-free XK8 you can afford, have a local Jaguar specialist maintain/service it, and take care of it like it deserves. Great value, great motoring, great experience.UPDATE (5/16/17): 30 months in & still loving my XK8 - she's a keeper. A few months ago, I decided to fix some miscellaneous leaks (oil, coolant), a part of owning any British car. My local Jag specialist replaced the coolant bypass hose, water distribution pipe & thermostat housing, plus some o-rings & the coolant cap. The shop also replaced the oil pan gasket & drain plug. The fixes weren't cheap but they worked. Costs: parts ($321.32) & labor ($284.20) totaled $624.80 w. tax. The car is now approaching 130k mi. & drives as sweet as ever. I'm planning some road trips for the summer, including a couple of British car shows. The body & paint is excellent, the black leather interior has that aromatic richness of Connolly leather that I love, and the power top, AC & electricals all work perfectly. It's still a few more years before XK8s start their upswing in value as a modern classic, so find a good 'un now while they're cheap & enjoy!UPDATE (5/17/18): Quick update on my XK8 after 3+ years of ownership - she still looks great, comes out of the garage on sunny days, and runs like a top. No issues at all during the last year - I've added about 2000 miles since the last update. Hard to believe my XK8 is approaching 20 years old, but it's true. I sometimes get a yen to sell it & get something else, but what would take its place? A drive in the country, top up or down, is all it takes to remind me what a great car it really is. She's a keeper.",5
1, on 05/01/08 22:30 PM (PDT),ex-fan ,1999 Jaguar XK-Series Coupe XK8 2dr Coupe,Stay away," After 80,000 miles, the timing chains came off.  The engine was destroyed. And the warranty had expired.  Jaguar must have known about this issue -- the issue has been widely written about by other owners on the internet and my dealership stated that chains typically come loose between 80,000 and 100,000 (but a small oil leak usually leads to a repair before all timing chains come off).  But no one warned me.  Not Jaguar, and not my dealership.  Don't be a fool.  Don't buy junk.",3.75
2, on 06/07/11 19:03 PM (PDT),tomeyeman ,1999 Jaguar XK-Series Convertible XK8 2dr Convertible,So-So car," I traded a 98 Porsche Boxster for a 99 Jaguar XK8 a few years ago.son I did it was to have a back seat for my kids to ride.Unfortunately the back seat is so small only kids under 5 can fit.Exterior:No complaints. It's a sleek, nice design. Interior:Extremely difficult to enter/exit but once inside is comfortable .The wood interior is nice but the rest is cheap, easily breakable plastic.Mechanical:The well-known cheaply-made plastic timing chain tensioners should have been replaced on all the XK under warranty. Overall by no means a luxury car. Then again, I'm comparing it to an LS Lexus.",2.75
3, on 05/05/11 12:27 PM (PDT),remsenburg ,1999 Jaguar XK-Series Convertible XK8 2dr Convertible,"Great value, but requires some patience...."," As someone who has owned two other Jaguars, an XJ6 and an XJ8, that were purchased new and kept for 7 or more years and 100k miles, without any problems, I was optimistic that my purchase of a 1999 XK8 in the spring of 2010 would not present any problems.I researched the car and was aware of the timing chain issue (which I replaced immediately on purchase of the car), but I was unprepared for mysterious ""check engine"" light problems.After several unsuccessful attempts by my repair shop the problem ultimately was the electronic throttle control module (a very expensive part).After replacing the ECM - no problems.All in all still a lot of car for the money!",4
4, on 04/15/10 08:49 AM (PDT),Sutzme ,1999 Jaguar XK-Series Convertible XK8 2dr Convertible,Worth the headaches," Bought this gem used with 21K miles on it. Good thing I had an extended warranty. Plenty of electrical problem, traction control fail, antilock brake fail, convertible top lines fractured (not covered), fuel pump fail, starter fail, etc. In spite of all that, this car is just fab. It drives like a dream now that everything is fixed. She is a thing of beauty. I never get tired of starting the engine. She handles so well on the road and is great on the highway (gets 26 mpg believe it or not). These cars have lots of computer glitches. You have to get used to them. Thing you need most is a mechanic you trust who can keep your gem running smoothly. Dealerships are not always the best at this.",4.625
5, on 11/23/09 16:46 PM (PST),allen/kym ,1999 Jaguar XK-Series Convertible XK8 2dr Convertible,Great bang for your buck," I just bought my Jag Xk8 convertible a few months ago. It is black on black with chrome wheels. The car gets plenty of looks. People cannot tell what year or what I paid for this baby. The car is beautiful to look at in motion or while sitting still. Under the hood is a monster. the car has power the run a quarter mile when needed. In short, just buy it. You treat the car good, and she'll treat you real nice.",4.875
6, on 03/27/08 14:31 PM (PDT),One more thought ,1999 Jaguar XK-Series Convertible XK8 2dr Convertible,Mixed feelings," I love the looks and the ride is exceptional for a sports car.  Long trips are no problem, the car is easy to drive and very responsive on the highway.  It could use more low end torch, and the transmission is a concern sense it is a closed system, unable to change any fluids.  I had to change motor mounts and the safety monitoring system for the transmission is very touchy.  The vehicle brakes very well and stability is exceptional. ",4.5
7, on 10/11/07 11:17 AM (PDT),Markas ,1999 Jaguar XK-Series Convertible XK8 2dr Convertible,A great old girl," I have a friend who owned this car and was moving out of the country and couldn't take it.  I have been salivating over it for some time, so buying it was a no-brainer.  I haven't owned a convertible before, so it has been a delight driving around topless this summer.  The interior is comfortable, but those back seats are a bit silly.   The acceleration is good and the hum of the engine is delightful.  I've had quite a few people ask me about the car at stoplights and stop signs.  What a fun car to drive.",4.875
8, on 08/13/07 12:27 PM (PDT),greyfox ,1999 Jaguar XK-Series Convertible XK8 2dr Convertible,Reality," Great looking but no real substance.  At 65000 miles, I have repaired timing chain guides, motor mounts, tilt wheel electronics, door lock electronics, memory seat electronics, Mass Air flow meter, throttle body module, fuel pump, fuel regulator, plugs and it still is a big question mark.  Can shut down in traffic.  No notice.  Can be hard to start up with shaking for 2 minutes.  Shows failures but the computer reads unrelated problems which if fixed would not make any difference.  Intermittent ability to start up.  Sometimes seems like no starter connected.",3.375
9, on 05/20/05 07:29 AM (PDT),Richard Hill ,1999 Jaguar XK-Series Convertible XK8 2dr Convertible,The Brits can still make a great car," I had resisted buying another Jaguar since my bad experiences with the XJ models of the 70/80s. However, since Ford has dragged this famous marque into the 21st century, with good quality control & finish, I decided to give the make another go. I have not regretted it for one moment, because this beautiful lady will make you feel 20 years younger without surgery & hours in the gym  (as did XKE in the 1960s). The performance & endless  power is captivating (forget the nonsense of 0-60 & top speed).The ride is firm, but comfortable & the road holding is like a go-kart. The design team of Jaguar has blended luxury, style, performance & feel good factor in one car, which is hard to beat under $100K.",4.5
