,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 02/13/18 20:14 PM (PST),BVA ,2015 Land Rover Range Rover Evoque SUV Pure Plus 4dr SUV AWD (2.0L 4cyl Turbo 9A),Very Good SUV," This is an execellent SUV, but you have to know what you are buying. This is not a large car, and it has quirks like all Landrover Vehicles I have had before. The most glaring positives are a very refined interior finish and quality. Very nice use of leather and other materials. On the outside styling is better than any other SUV on the road. The negatives are that the new flashy plastic panels used on the exterior are prone to scratching very easily and they should really be tougher. Even the car wash scratches them without the use of brushes. The tires are prone to quick replacement but have Porche type grip so no complaining here. Braking is excellent, better than any Range Rover before as well as gas mileage. Car, feels like it is supercharged. There is a need for improvement, the leather does not look like it will hold up like previous Range Rovers, and the car needs a bigger cargo area. Options add up quick and this SUV should come in under 49k with options in the next generation, as without doing so really makes the value proposition hard to support.  Note the car should be broken so that it is reliable. You can't drive very agressive for the first 1500 miles. The brakes and engine will not then be smooth.",4
1, on 10/04/17 18:13 PM (PDT),PJ ,2015 Land Rover Range Rover Evoque SUV Pure Plus Corris Grey Special Value Edition 4dr SUV AWD (2.0L 4cyl Turbo 9A),Stylish," I would suggest that you shop around. The dealership that I went to was excellent. I went out of state, more than an hour and a half from where I live. I cannot tell you the difference in treatment I was afforded.  The vehicle itself is overall a great vehicle to drive. I previously owned a lr2 before I purchased my evoque.  I have not had any serious issues. My 2 wheel traction lights has come a couple of times while I was driving and has caused the vehicle to slow down to a stop. So far Land Rover dealership, near me, has not been able to find out what the issue is. I think it is a nice vehicle overall.",5
2, on 01/20/17 16:41 PM (PST),Kerry ,2015 Land Rover Range Rover Evoque SUV Pure Plus Santorini Black Special Value Edition 4dr SUV AWD (2.0L 4cyl Turbo 9A),Don't buy this car!!!," This car is a death trap. It has been in the shop more than in my driveway. Too many electrical issues to speak of. Bluetooth replaced and still works when it wants to. Navigation is by far the worst I have ever seen. Oh yeah and the whole shutting down while you are driving on a major highway and locking up for no reason thing. I took it in for the same issue with wanting to stall since the first week I drive it off the lot. I was given the car back numerous times with the ""We couldn't find anything"" speel every single time. It has now been put back in the shop after the 5th or 6th time only now it completely shut off while driving. Then there's the random throwing itself into park and shutting down while trying to pull into my driveway as well. I can go on all day with what a piece of garbage this almost $50,000 vehicle is. The customer service is a joke as well. You will bring it in and won't see it sometimes for weeks. They will lie about not having a replacement vehicle for you to drive and whether you have an appointment or not you will spend a minimum of 4 hrs there. However if for some insane reason you do buy this joke of an suv, when you bring it in take a look around and watch how many cars get pulled up to service while you are there. Some with 13 miles on them not 13000 but 13!!! Too many to count came through and when speaking to the valet they said more cars in service than on the lot. So there ya go. I hope whoever is thinking about buying this pos looks at all the horrible reviews and goes to toyota and gets a real suv.",1
3, on 11/29/16 18:40 PM (PST),Stacye ,2015 Land Rover Range Rover Evoque SUV Pure Plus Fuji White Special Value Edition 4dr SUV AWD (2.0L 4cyl Turbo 9A),Bluetooth Nightmare, I have had nothing but problems with the Bluetooth feature in this car! I have had the Evoque to the dealer more than once. I have also changed out my phone thinking it was the phone. The dealership told me they can't find anything wrong yet I have read all over the internet I am not alone. I do a large part of my business on the phone and this is truly unacceptable.,3
4, on 10/01/16 05:23 AM (PDT),Ray DeLuca ,2015 Land Rover Range Rover Evoque SUV Pure Plus 2dr SUV AWD (2.0L 4cyl Turbo 9A),So far so good!," Bought the 2 door with 2200 miles. I've had no issues or complaints, drives great, feels great, looks great and so far I love it. Brought it in for oil change and they did a s/w upgrade. No issues will keep you posted",5
5, on 09/11/16 14:05 PM (PDT),Mrs. M ,2015 Land Rover Range Rover Evoque SUV Pure Plus 4dr SUV AWD (2.0L 4cyl Turbo 9A),Do not buy!!," I bought the Evoque in a bit of a hurry because we were moving to the mountains and I needed a four wheel drive. I am so sorry that I didn't do any research! I hope these reviews save someone else. We bought the Evoque used with 20,000 miles and a 50,000 warranty thank God. Long story short...at 36,000 miles it had to have front and rear brakes replaced, a new battery and then after I had had it home only ONE week I also had the gear box fault another reviewer mentioned.  It had to be towed!! Thankfully I was not in traffic like the other reviewer!! They said they can't get the part for a month, I still don't have it back. I am really in disbelief over the whole thing. I thought Land Rover was a good brand. I see them everywhere!!?? So if I ever get it back, I am getting rid of it right away of course and at a BIG LOSS!",1
6, on 04/04/16 14:40 PM (PDT),ken duff ,2015 Land Rover Range Rover Evoque SUV Pure Plus 4dr SUV AWD (2.0L 4cyl Turbo 9A),Lemon," Bought December 2014, nothing but trouble. In and out of repair shop 6 times, last time they replaced the whole engine.",1
7, on 03/02/16 21:14 PM (PST),Joseph Teyssandier ,2015 Land Rover Range Rover Evoque SUV Pure Plus 4dr SUV AWD (2.0L 4cyl Turbo 9A),A Ford Escape wearing a dinner jacket.," All looks and no actions. A brand that I always admired Land Rover. My dream SUV turned out to be my worst nightmare and biggest disappointment in the automobile industry. As an avid car fanatic. I've had the pleasure of owning and leasing most of the high end vehicles in the market. From Mercedes Benz to BMW to Lexus both in sedans and SUV's. Until I decided that I was able and comfortable enough to finally afford my first Land Rover product. The 2015 Range Rover Evoque Pure Plus (5door). Well, my biggest mistake. I purchased the entity on 2/26/2015 as a Certified Pre Owned with barely 17K miles on the odometer. The vehicle looked show room condition inside, outside and under the hood. Rich leather scent inside gorgeous full glass roof and one of the most impressive infotainment systems I've ever seen. After driving it home and four days into my purchase I decided to google reliability of said vehicle and under Consumer Reports all reviews were one star and the horror stories were too much to mention from all over the world from the UK to Minnesota all over the US. People just devastated with their experiences A TRUE CAR BUYERS NIGHTMARE. Everything from engine stallings to sudden braking at high speeds causing driver and passengers injuries. To constant Check Engine lights and other notifications of malfunctioning all over the cluster. Repeated visits to the dealership days and weeks without their cars then getting back and the next day the same issues arising and the worst thing was the treatments by the dealer's disconcerting attitude. To the point they said to a particular owner. WELL WE CANT DO ANYTHING ELSE FOR YOU .... CONTACT LAND ROVER. After coming across this unexpected and disappointing horror stories I decided to return the Evoque just today 3/2/2016 on the fifth day and I was fortunate enough that the dealership has a FIVE DAY Return/Cancel or Exchange Policy. So I got my 2014 Mercedes Benz E350 back (Luckily again it had not been sold yet) got my title back and PUSHED THE PEDAL TO THE MEDAL. Like a bat outta hell I rushed home. I was one of the lucky ones. Shame on you LAND ROVER and JAGUAR brand. You're selling RATS WRAPPED IN MINKS. Disappointed.",1
8, on 10/19/15 02:32 AM (PDT),Melissa ,2015 Land Rover Range Rover Evoque SUV Pure Plus 4dr SUV AWD (2.0L 4cyl Turbo 9A),Hands Down Safest SUV," I leased a 2015 Land Rover Range Rover Evoque (Pure plus with options) in February 2015. It had some software issues during the first month (key was locked inside vehicle so that was an issue that needed to be addressed early on) but the dealership was very accommodating. I never had an issue with the Evoque after that. I do find that a bigger engine would be better because it is a big sluggish to take off. It handled the road very well and it was a very smooth ride as well. It had very good gas mileage especially on long drives. Entertainment system is great!****The most important thing that I will tell you is that 2 weeks ago, this truck was involved in a rollover accident and it was considered a total loss. Injuries to myself and the driver were very minimal as we walked away from the scene with minor injuries (cuts and scratches). For that very reason, I am going to get another one. I deem this to be a very safe vehicle. Don't take for granted the safety features in the truck. They work!",5
9, on 10/01/15 16:13 PM (PDT),Lynn C ,2015 Land Rover Range Rover Evoque SUV Pure 4dr SUV AWD (2.0L 4cyl Turbo 9A),I expected so much more!," First the good:  This is a great looking car and there are so few on the road I feel special driving it.  Also, it handles quite well in snow and ice.The bad:  It's small, you can't close the trunk from the inside of the car, the navigation system is horrible (I've been routed to dead ends more times than I care to recall), the front seats have no lumbar support, the rear window is way too small and the transmission is jerky.  The front console is too small and there are too many controls on the steering wheel that could adversely affect driving.  The ugly:  New front and rear brakes and tires required after only 25k miles!   Cost of routine maintenance is ridiculous, and the excessive number of software updates required is unheard of and take FOREVER. Unless you like spending time at the service center and wasting money, move on to something else.",3
