,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 06/21/17 01:30 AM (PDT),Justin Cravalho ,2008 Lincoln Navigator SUV 4dr SUV 4WD (5.4L 8cyl 6A),I love my Navigator, Be sure you're ready to be coddled in the ultimate in comfort and true American luxury.,5
1, on 02/11/16 21:39 PM (PST),Gaelon Ball ,2008 Lincoln Navigator SUV 4dr SUV (5.4L 8cyl 6A),Amazing 08 Navigator," I bought my Navigator a few months ago and about a month after buying it we were in a 5 car collision  on the interstate my navigator came out of the wreck with a dented bumper that's it... IT SAVED MY FAMILY'S LIVES INCLUDING THE 8 MONTH TWINS IN THE 3RD ROW.... you could never get a better vehicle and gas mileage it pretty great considering its an SUV with a big V8.I love my navigator it's alot better than my 2000 expedition Eddie Bauer! This vehicle saved my family's lives on multiple occasions since I bought it, if you are in a position to get a Lincoln Navigator do so you will not regret it, it is a fantastic traveling and local vehicle, the best part is that you don't have to have premium fuel.... For someone who's had the LINCOLN  experience you will not regret buying...! (Update ... I have now had my 2008 Lincoln Navigator for almost 2 years now and is is the most fantastic vehicle I have ever owned I recently hit a deer a 40 mph and it only cracked the bumper and the grill which the insurance covered but I was completely shocked there wasn't ALOT more damage but that's it the brakes immediately responded it didn't slide or screach nothing it was amazing. I can go on and on at how great this car has been but to put it simply I would definitely buy another!!!)",5
2, on 11/15/15 14:16 PM (PST),Chris ,2008 Lincoln Navigator SUV 4dr SUV (5.4L 8cyl 6A),I had this car for 10 years, This is a wonderful SUV very comfortable very comfortable and eliability is outstanding.  I would highly recommend this vehicle.,5
3, on 01/13/12 10:31 AM (PST),azt1 ,2008 Lincoln Navigator SUV 4dr SUV 4WD (5.4L 8cyl 6A),Comfortable and Roomy., I've had my Navigator for a few months now. I was leasing a 2008 GMC Yukon Denali before I decided to buy. I originally bought a 2007 Cadillac Escalade but took it back because it was too much like the Denali. The Escalade does handle better and has more power than the Nav but I do like the Navs interior a bit better. Love the 3rd row seat and the power fold feature. Denali and Escalade 3rd row was terrible. Also like that the Nav can switch from 2W to 4W drive. Denali and Escalade was AWD. Nav takes Regular Fuel while Denali and Escalade took Premium Fuel. Overall I am satisfied with the Nav though there is room to improve on it to better compete with other luxury brands.,4.5
4, on 08/24/09 11:21 AM (PDT),bal ,2008 Lincoln Navigator SUV 4dr SUV 4WD (5.4L 8cyl 6A),Nice SUV, This car is an overall good vehicle. It has room for 7 passengers which makes it convenient for families with children. The car is very large and takes a little bit to get used to if you haven't driven an SUV before. The sound system is great. Very reliable and well built. The only problem we had was an electrical one with the window which was fixed under warranty.,4.375
5, on 07/16/09 19:55 PM (PDT),kev ,2008 Lincoln Navigator SUV 4dr SUV 4WD (5.4L 8cyl 6A),Great travel vehicle, I bought this 6 months ago.  it took a few weeks to get the hang of driving it.  now I love it.  Plenty of power.  Really comfortable.  Tons of room for a 220 lb 6 footer like me.  just drove 3400 miles in two weeks on vacation with tons of gear and bicycles on the back.  made the trip very easy.  17.9 MPG on trip.  about 15 commuting to work and around town.  many really nice features,4.625
6, on 06/04/09 10:44 AM (PDT),sevenstw ,2008 Lincoln Navigator SUV 4dr SUV 4WD (5.4L 8cyl 6A),Luxury Built Ford Tough," The exterior chrome and square gauges have a retro 1960s look.  The interior is all about comfort, luxury and modern technology.  Build quality is excellent compared to the competition. For someone who drives nothing but full sized V8 trucks, I was impressed with the gas mileage and power of the Navigator. The seats are very comfortable and there is all kinds of leg, side and head room in all 3 rows.",4.625
7, on 03/21/09 10:19 AM (PDT),TRS ,2008 Lincoln Navigator SUV 4dr SUV 4WD (5.4L 8cyl 6A),Best One Yet," This is my third Navigator. All have been 2 year leases. I intend to buy this one at lease end. My first two had some electrical problems, especially with the easy exit system. This one been back once to replace the rear dvd, but other than that no problems. I love to drive this vehicle, especially on road trips. Gas mileage is low, but to be expected for a car this size. I really love the backup camera where it is in the reaeview mirror as it keeps sun glare to a minimum, whereas in dash cameras have that problem. Perfect family vehicle. The olny thing that keeps this car from being perfect is blue tooth. ",4.625
8, on 11/28/08 17:25 PM (PST),Laura ,2008 Lincoln Navigator SUV 4dr SUV (5.4L 8cyl 6A),Luv It," Love it! This is the most comfortable car I have ever been in.  When my friends and I go out their Hondas and BMWs stay home and we take my Navigator becuase it's the most comfortable of all of our cars. I love that it never goes back to the dealership. My old Mercedes G500 spent more time at the dealer than with me so this is a wonderful improvement. My husband tells me that my Navigator is based on the same vehicle as his Expedition and he puts over 150,000 miles on them with no problems. I look forward to keeping my car for a long time.",5
9, on 09/07/08 08:48 AM (PDT),jnd ,2008 Lincoln Navigator SUV 4dr SUV 4WD (5.4L 8cyl 6A),Solid in every way," This is our second Navigator and this is much better then the 2005 model we replaced. Recently towed a 7500 lb boat and had the vehicle packed for  vacation, trip was 120 miles each way and averaged 11 mpg. Handled the trailer like a champ. This model is significantly quiter then the model it replaces and seems smaller even though it is the same size. Engine and drive train are the same as the 2005 but the 2008 uses regular gas. Plenty of room for passengers and gear and the 3rd row seats are very comfortable even for large adults. The high itensity headlights are not as bright as the 2005 but the coverage is very good. ",4.875
