,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 07/31/18 17:57 PM (PDT),Lynn ,2002 MINI Cooper Hatchback S 2dr Hatchback (1.6L 4cyl S/C 6M),TOP GEAR," I got my mini one year ago (2017) as a ""TOY"".  Just for fun, running errands, drive it locally. etc. Keep in mind, the mini was 15yrs old when I got it. The odometer  showed 55,000 but after getting a car-fax, the mini really had 160,000 last time reported in 2015. Now in 2018 I estimate the mini to have close to 200,000.  My mini is still strong, tranny is smooth, changes gears easy, clutch is perfect. I never would have guess the actual mileage to be so high.  It drives so good, I don't use my SUV much any more. I don't know how long it will run without repairs, but for me it's ""TOP GEAR""",4
1, on 07/12/16 08:54 AM (PDT),Barb  Wilcox ,2002 MINI Cooper Hatchback 2dr Hatchback (1.6L 4cyl 5M),A very nice SECOND car.," Number one would be the extraordinarily high dealer maintenance costs!  They are about the same across the board as a very high level BMW.  Great handling, but with the basic set-up, very poor acceleration.  Very easy to park.",4
2, on 07/07/10 03:58 AM (PDT),tywashin ,2002 MINI Cooper Hatchback 2dr Hatchback (1.6L 4cyl 5M),Best small car on the road!," Well, I have only owned it for about two months, so far it has been a great car. It's very fun to drive. And I like how other mini owners wave when ever we see each other. I draw attention wherever I go. It's also the best car I have ever had on gas. The seats could be a little more comfortable for long road trips.",4.5
3, on 06/06/10 23:11 PM (PDT),jennyj ,2002 MINI Cooper Hatchback 2dr Hatchback (1.6L 4cyl 5M),Stay Away!," I bought this car from the previous owner who babied the car and had virtually no mileage. I argued with my family and friends that if I had to drive a ""fuel economy"" car it would at least not be generic, so I bought the Mini. To say I have been let down with this car and BMW's backing of this car would be the understatement of the millennium! The transmission went at 42,000 miles and the wanted 7,500 to replace it, even though there were hundreds of similar complaints of faulty tranny's, BMW simply turned its head! Next were the window motors, the end caps of the rain gutters, the exhaust (at over a grand), the power steering pump, and more! This car is the biggest pile of garbage around!",2.125
4, on 09/30/08 18:31 PM (PDT),ghost ,2002 MINI Cooper Hatchback 2dr Hatchback (1.6L 4cyl 5M),Very upset!!," I purchased my 2002 Mini last Aug. 2007.  I have driven it less than 3 thousand miles..if even that much.  I was told today that something called the Final Drive needed to be replaced and the Transmission was messed up.  Being that our economy is so great and I can't get a job- I couldn't afford the thousands it cost to fix it.. and lost over thousands in letting it go for pennies.  I am saddened beyond belief that a car that I thought was so incredible, after all, a BMW etc., turned out to be the biggest lemon that I have ever purchased. OK.. I loved that car for the whole time I had it.. and now.. feel so very let down!",2.5
5, on 06/09/08 19:52 PM (PDT),Jim from Indy ,2002 MINI Cooper Hatchback 2dr Hatchback (1.6L 4cyl 5M),"Kudos to this car, so far", This car handles almost as well as my 1991 Dodge Stealth.  Plenty of leg room for 6'2 and above.  Just bought it a week ago but no complaints as of yet. Keeping fingers crossed.,5
6, on 05/26/08 07:05 AM (PDT),"cheryl, ",2002 MINI Cooper Hatchback 2dr Hatchback (1.6L 4cyl 5M),"""uncle""","  This car is so much fun to drive, rivaling other imports I've had. It has plenty of power to render confidence in passing and on ramp approach, corners on a dime, and has awesome gas milage without performance trade-off.  However, I've experienced way too many costly repairs ie. engine wire harness, intake valve module, cooling fan module, power steering pump etc. It's time to cut my losses. Regretable, I scream uncle.  ",3.875
7, on 04/03/08 20:11 PM (PDT),Fun in Del Mar ,2002 MINI Cooper Hatchback 2dr Hatchback (1.6L 4cyl 5M),Clutch and Transmission Failure," I have had a lot of trouble initially with the computer system of the car, but the worst is that I had to have the clutch replaced at 75,000. miles and now I need a new transmission at 83,000. miles.  Dealer tells me it's my driving - but I have been driving Beemer stick-shifts my whole life - I never had to have either one of those parts replaced until I got to 175,000. miles.  Furthermore, all maintenance the car needs is very expensive - which may have to do with individual dealerships. Nor am I happy about the acceleration of the car.  It certainly does not compare to any of the 3- series of the BMW's - but then again it's also cheaper.",3.25
8, on 02/08/08 08:33 AM (PST),T Ritchison ,2002 MINI Cooper Hatchback S 2dr Hatchback (1.6L 4cyl S/C 6M),Mighty," My Mini S, makes me smile. It's everything I ever wanted in a small car. Lots of fun to drive. The 6 speed is awesome. The engine is very reponsive. I've taken many long trips. The hum of the engine & exhaust at 60- 80 MPH, is music. Never had so much fun. I'm a backpacker. The room in the back is perfect for wine, hiking poles, cooler, 1 large suitcase and 2 back packs. My only dislike; the run flat tires. Expensive to replace  and are good for about 25-27 G's. But I can live with that! I believe, its the best reproduction ever. My Mini & Me. My license plate is MIGHTY. Its that and then some. Wow!",4.875
9, on 10/01/07 12:10 PM (PDT),Lisa ,2002 MINI Cooper Hatchback S 2dr Hatchback (1.6L 4cyl S/C 6M),2002 Mini Cooper S," This car has been a real joy to drive. Not only does it handle exceptionally well in all weather conditions, it gets great mileage and has been very reliable. I replaced the run-flat tires with some wider softer tread tires, and that really made the car ride much more smoothly. I just carry a can of flat fixer in case I ever get a flat, which I have not in all the years I've owned it. I always tell people that the mini is not a luxury car, it drives like a sports car. The design is extremely utilitarian, which I like! I think everyone should own a Mini!",4.875
