,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 12/09/09 14:11 PM (PST),regretful ,2009 Pontiac Torrent GXP GXP 4dr SUV AWD (3.6L 6cyl 6A),regretful," GM says 16/24 mileage,more like 12/19,that's using cruise control, at approximately 70mph never over. It gets even less at 55 mph!what the!? Let up on the gas and it comes to a stop, I mean motor runs but I mean the power just dogs, it's like all power stops going to the drive train? I guess it saves on brakes. It has a horrible turning ratio, didn't notice it on test drive, you need to plan ahead to park. The CD player takes forever to load. If I'd known the gas mileage was going to be this bad, I would've bought a truck or a SUV with 4x4.",3.875
1, on 06/16/16 16:14 PM (PDT),David ,2009 Pontiac Torrent SUV 4dr SUV (3.4L 6cyl 5A),2009 Pontiac Torrent 3.4L V6 AWDI have had a Ponti," I have had a 2009 Pontiac Torrent AWD 3.4 L V6 since 2010. I get 25-28 MPG highway at 60 mph. I live in the country so for city driving I have less data. Going up steep hills hill MPG can drop to 15 MPG. Minimum MPG is 23-24 with no city driving and various driving terrain. Vehicle has 185,000 miles and gets the same good MPG as new. Car has had a new throttle body, new front transaxle, new timing chain, two new intake manifold pressure sensors, new ERG, new battery, and all fluids, plugs, and filters  changed at recommended times or more often. Brakes are original and will go to ~210,000 miles. The problems I have seen with the car are a lot to front transaxle wear and rear differential wear. I have had to change those lubricants more than recommended. Also had some automatic transmission shifting issues. The transmission seemed not to be able to make up its mind. The dealership said it was OK on test drive so I fixed it myself by installing new intake manifold pressure sensor (first sensor went bad in 2 months so it took another one before problem was solved). I relayed the info to the dealership and they agreed that was the problem. Vehicle drives great in snow and ice, it has all options; Stabilitrac and traction control. Road noise is high. Buy a quiet all weather tire and it will be better. Overall I would buy this vehicle again. I like the AWD snow and ice driving. I have never gotten stuck.",4
2, on 10/27/15 18:28 PM (PDT),Vic ,2009 Pontiac Torrent SUV 4dr SUV (3.4L 6cyl 5A),"Great, reliable car/SUV."," Sold it. (But loved it and miss it!)Super dependable with a decent ride and nice acceleration. Plenty of room for 5 and lots of cargo space. Rides more like a truck with a stiffer ride. This SUV is very flexible and dependable. It's a great family car, yet can also carry large loads (i.e., equipment, tools, lumber, etc). Have thought about trading it in but its just such a nice utilitarian vehicle that I hate to part with it.Update: Sold the car in January this year (01/2016). It was still in excellent condition, no mechanical issues, no rust, decent (but stiff) ride. Wanted something with a smoother ride for trips around the country. Sold it for $8000 which I felt was pretty good for a 7 year old vehicle. Have been a regular Pontiac owner (Grand Am, G6, Montana, Torrent) and am sooooo disappointed they went out of business.",5
3, on 09/22/10 00:00 AM (PDT),mollyd ,2009 Pontiac Torrent SUV 4dr SUV AWD (3.4L 6cyl 5A),Driving it until it dies.," Originally owned a 2007, traded in for a 2009 AWD when I heard they were stopping the line.  I literally walked on the lot, said how much and then started negotiating.  This one rides smoother than the 2007.  I'm 5 feet tall and not only do I feel safer in an SUV, this one isn't so wide that I feel like I'm driving a bus. The AWD really gets me around in almost impassable snow.  We had 13 inches and I didn't have a problem.  I really love this car, mechanically I have not had a single problem at 30k+.  My biggest challenge is where the front end ends, I always have about 12 inches of freedom I don't know about.  Plus, parallel parking isn't tough unless it's a tiny spot. Fuel econ 17/21.",4.5
4, on 06/26/18 07:38 AM (PDT),Steve B. ,2006 Pontiac Torrent SUV 4dr SUV (3.4L 6cyl 5A),Excellent SUV," Bought new off the showroom floor,now has 325k miles.Still will pull our pop up camper with it.Replaced a flexplate due to cracking at about 180k, the only real issue we've had.Front hubs seem to go out around 80k miles.I replace them myself for around $100 each.Overall has been a very reliable SUV.Too bad it's not made any more. Suspension has a sport feel, different than the sister GM SUVs like it. The wife does not want to get rid of it still,but keeping an eye out for a lower mileage Torrent now to replace it.",5
5, on 04/22/18 21:26 PM (PDT),Catty ,2006 Pontiac Torrent SUV 4dr SUV (3.4L 6cyl 5A),A once 17yrso car," It's a great starter car, it's been with me through everything.",4
6, on 08/24/17 17:01 PM (PDT),Creighton Barker ,2006 Pontiac Torrent SUV 4dr SUV AWD (3.4L 6cyl 5A),275k and still runs well," It is great in snow, gets 23mpg always, AWD, roomy, love the rear hatch. Yes I replaced one wheel bearing, did the head gaskets, and now adrive train bearing. But it's on it's third lifetime in Midwest Winters and hot summer. We got it with 74k 10 yrs ago. On our third set of tires, we buy Cooper. If I can find another with only 100 k on it, I'll buy it for later on. Love the manuverability.",4
7, on 09/22/16 17:56 PM (PDT),reviewer ,2006 Pontiac Torrent SUV 4dr SUV (3.4L 6cyl 5A),Love this car!, ,4
8, on 02/12/16 13:45 PM (PST),Naomi Milligan ,2006 Pontiac Torrent SUV 4dr SUV AWD (3.4L 6cyl 5A),Please don't buy this truck!," I purchased my 2006 Pontiac Torrent used but 'GM certified' the day after I drove it off the lot I had to take it back for an oil pan seal (luckily the dealer covered that since I had the car less than 24 hours) that was just the beginning and I should have RAN!! I have had this truck 3 years and thus far I have replaced the following: tires, 16 wheel bearings (all by different mechanics to rule out mechanics error), rear end, carrier bearing, CV axles (front and rear), brakes and rotors, 4 alignments (to try and fix the wheel bearing issue), ball joints, control arms, EGR tube, ABS sensor, factory radio (switched for an actermarket as I've heard of sooooo many issues with the factory ones), cruise control, steering column, windshield washer motor, windshield (x3 don't let a pebble hit the glass, ever!), and after JUST putting over a grand in to it not even a month later (which seems to be about the timeline I get in between repairs) the check engine light is on, the alternator is going out, and there is an all too familiar grinding starting back up. I have actually decided to get a second vehicle as this one is in the shop SO MUCH and every time I go to sell it, something else BREAKS and I have to get it repaired. I am not one to beat my vehicles up (I hate paying for repairs!) and this thing STILL is nothing but problems! The interior is also cheaply made as there is paint coming off the door handles and the radio surround. Oh! And the bumper brackets broke about a month after I bought it (and continued to break) so I got innovative and started using cable ties, probably the most reliable part on this entire vehicle!!! STAY AWAY FROM THIS VEHICLE AT ALL COST!!!! I've estimated about 8 grand (so far) in repairs and as soon as the check engine light came on it started idling hard (non-permissible content removed)!",3
9, on 09/01/13 07:07 AM (PDT),aldwis25 ,2006 Pontiac Torrent SUV 4dr SUV (3.4L 6cyl 5A),"Spacious, Comfortable, Fun to Drive, Good Value"," Bought used at 5K mi., has +97K mi. now. Overall reliable, comfortable, smooth ride, fun to drive. Get about 17 city/24 hwy mpg. Pros: Very spacious front/rear seating and cargo space; comfortable; reliable; smooth ride for low-price basic crossover class (broad wheel base). Cons: Replaced heating/A/C actuator motor at 53K (+$900 repair) but was GM recall later - contacted dealer, reimbursed same day; replaced wheel bearings at 75K; replaced bolts on exhaust at 86K (apparently common problem on Torrent and Equinox - made exhaust loud - easy $20 fix); slow pick-up at acceleration; odd window controls placement (all in front seat center console).",4.75
