,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 08/14/17 08:10 AM (PDT),Barry ,2015 Ram CV Tradesman Minivan 4dr Minivan (3.6L 6cyl 6A),Good option for lighter hauling," Cargo space is generous for a minivan - no back seats.  We liked the van, its ride, styling, etc., but we really needed a larger cargo area.  This would be a good delivery van for florists, parts distributors, etc.",4
1, on 04/28/16 17:01 PM (PDT),NANCY H ,2015 Ram CV Tradesman Minivan 4dr Minivan (3.6L 6cyl 6A),INCREDIBLE VALUE," I am an appliance repair(wo)man. Bought the van new 3 years ago. 80k later, I've changed the front brakes and tires once. Although I change the oil every 3k to 4k miles, the book says every 8k. The acceleration is like a race car, even fully loaded to the brim with parts and tools. It goes from -0- to zoom in a few fast seconds. With sliding doors on each side, and a rear hatch, all my parts and tools are easily accessible. There are no rear windows, but the back-up camera works very well. I trust dodge to build a reliable van, and have never....never....been let down. Since 1995, and 4 hard-ridden vehicles later, i've always sold them at about 250k, with no major repairs. I paid 16.5 k, brand new....put 500.00 in shelving, and on the road we went. Peace of mind is priceless. Can't wait to see what they add in 2016! Built in wifi and a tablet station would be very usefull....add a printer into the dash, and you'd have the best service vehicle in history. Thanks again for keeping the faith!",5
2, on 05/20/15 00:52 AM (PDT),sikpuppy ,2015 Ram CV Tradesman Minivan 4dr Minivan (3.6L 6cyl 6A),Perfect van for service technicians," I just got the C/V as a company vehicle about a month ago. Coming from a Ford Transit, this vehicle is like riding on a cloud...a quick cloud! And I no longer feel like I'm going to get run over while trying to merge onto the freeway. The ""expert review"" that said the Transit is more comfortable  around town is completely inaccurate. Comparing the Transit or NV200 to a Ram C/V isn't even fair...to Ford, Nissan or Chrysler. Any employee or other person travelling from site to site all day is going to be way happier in the C/V...and a lot safer than in a Transit or NV200. The C/V is smooth, powerful, has power everything and ample space for tools/equipment. Even the stock sound system isn't bad for what it is. Ok, 75000 miles later :Cons: The side mirrors have terrible blind spots. They could be better. Invest in some small stick-on blind spot  mirrors. The spare tire could be located in a better spot. Other than that, still a great vehicle for service technicians. Very disappointed that Ram discontinued the model.",5
3, on 12/13/13 12:54 PM (PST),barneybt ,2014 Ram CV Tradesman Minivan 4dr Minivan (3.6L 6cyl 6A),Cargo van for the little man!," It's basically a gutted grand caravan.The interior is identical minus the backseats and the addition of an aluminum load floor.The cup holders are goofy in the back, but I like the sound proofing provided by the original interior plastic trim.""Real"" cargo vans are noisy and hard to keep warm/cold.With 270 HP, the acceleration is good, and the cloth seats are comfortable.It's nice that the front seats can fully recline.""Real"" cargo vans seats must remain upright due to the partition between the seats and the cargo space.The CV drives like a family car but functions as a cargo van.""Real"" cargo vans are much more expensive.I recommend the U-Connect hands-free upgrade.",4.25
4, on 02/01/18 11:26 AM (PST),Volvoracer92@yahoo.com ,2015 Ram 1500 Quad Cab Express 4dr Quad Cab SB (3.6L 6cyl 8A),Great buy," I have owned to truck from New for over 2 year and put roughly 37,000 on it. Have had no mechanical issues and I change the oil ever 5,000. It does have belt squeel at startup when it's about 20° or below but haven't been to concerned with it. Tows my camper nicely it's a 28ft weighed in about 9000lbs loaded I have few complaints about this truck has been serving me well",5
5, on 07/29/17 13:39 PM (PDT),Melinda  Etnyre ,2015 Ram 1500 Quad Cab Outdoorsman 4dr Quad Cab 4WD SB (3.6L 6cyl 8A),Poor engines," Our 2 year old truck is on its 3rd engine. Twice the dealer has had to replace exhaust system parts. Thank goodness for 100,000 mile warranty",1
6, on 06/25/17 05:11 AM (PDT),DAMIAN ,2015 Ram 1500 Quad Cab Laramie 4dr Quad Cab SB (3.6L 6cyl 8A),do not buy the eco diesel!," i  have a 2015 ram 1500 eco. It has been to the shop countless of times. Chrystler has behaved excellent with customer service, but the truck is a lemon. Latest issue the brakes got stuck! 3xs to the deal and they still cant figure out the cause. As soon as i get the truck back im either going to sell it or trade it in. Also the truck is doing less mpg. DO NOT BUY THE 1500 ECO DIESEL = GARBAGE!",1
7, on 12/28/16 06:10 AM (PST),TSB8C ,2015 Ram 1500 Quad Cab Laramie 4dr Quad Cab 4WD SB (3.6L 6cyl 8A),Run away far and fast," Poor purchase experience from dealership (Demontrond in Conroe, TX). Rear passenger window won't roll back up. Start/Stop button failed. Driver visor won't stay up. Center console lid won't latch down. Rack and pinion steering unit had stripped gear. Peeling paint at body seam under driver door. Radio drifts off frequency when hot. Dealer refusing to repair under warranty. Opened case with Chrysler Support. Get updates almost daily, but still repairs not done. Dealer has had vehicle weeks. No resolution in sight.",1
8, on 08/04/16 17:31 PM (PDT),ken freiberg ,2015 Ram 1500 Quad Cab Big Horn 4dr Quad Cab 4WD SB (3.6L 6cyl 8A),Wanted this model in eco diesel, Didn't want to spend $7000 more. That is a lot of money up front for an extra 4 mpg.,5
9, on 06/09/16 06:38 AM (PDT),David Kretschmar ,2015 Ram 1500 Quad Cab Sport 4dr Quad Cab SB (5.7L 8cyl 8A),Love this truck., ,5
