,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 05/16/12 11:58 AM (PDT),2xvolvoowner ,2008 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),Double trouble," We own both the XC90 and S60and have been frustrated with both vehicles.Both have seen more than their fair share of the service department and the lack of concern from Volvo has been discouraging.In two years of the S60, we have had to replace the ignition switches twice. The emergency cable never really engaged properly so it had to be adjusted as well as the sunroof at a cost. A faulty ABS contact reeel and front axle shaft had to be replaced due to recalls. The headlight washer fell off and had to be replaced twice. As if we didnt feel nickeled and dimed already, we now have to replace the Fire Trap Housing not covered on the warranty. We are very disappointed.",3.125
1, on 08/29/10 08:28 AM (PDT),aikiman ,2008 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),First Volvo," This is my first Volvo, had an Acura and Maxima before this.  I've had this car for approx 18 mos, bought it used with 9500 miles and love it.  It is built very tight and feels heavier than it is.  The turbo gives it a lot of power when merging or trying to pass. Highway driving is excellent, it definitely loves to cruise. The back seat is tight, I have  an 8 year old and 10 year old and I have to move the passenger seat and my seat forward for them.  Quality so far is fine,front headlight washers needed new motors and the computer has had to be updated once because the immobilizer would occasionally get triggered preventing it from starting.  Problem fixed but it still does it sometimes.",4.625
2, on 05/09/09 11:51 AM (PDT),Central Florida ,2008 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),My first Volvo, I've had my Volvo 10 months and love it! I traded in my SUV in order to save on gas.  I have not had any problems and I get better gas mileage than I thought I would --- about 35 Hwy as long as I drive 69mph. Very very happy overall!,5
3, on 11/21/08 18:11 PM (PST),lordway ,2008 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),Relability Stinks," I liked this car a lot when I first bought it. Now I regret my purchase. It's too small for a normal sized person and forget about fitting anyone in the back seat. It's too small for even a child. The trunk space is not practical. It's not a true sport sedan and the gas mileage is poor considering its size and that it has only 5 cylinders. Furthermore, the relability is suspect. It has been to the dealership 4 times in 4 months for two intermitent problems (antilock brakes and the radio). No resolution for the second problem yet. The dealer has not been able to fix the problem without keeping the car for a week at a time. Bottom line: Don't make my mistake, buy Japanese.     ",1.875
4, on 09/27/08 22:30 PM (PDT),Stravage ,2008 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),1st Impression," In the past 2 years I have gone from a jeep grand Cherokee to a Nissan Sentra to my Volvo S60. Wife and myself sat in the S40 just looked at each other and  knew that we didnt want another small car, took the s60 out for a test drive and we were hooked. It was love at first sight. Within 3 hours we drove the machine home. This is not a car, its a driving machine. Of course that coming out of a Nissan that dragged you down the road while the S60 gives you a ride on the road. It was late and the s60 tank was on empty, stopped for gas 3.65 a gal it took $44 to fill the tank. Now I remember why I bought the Nissan. Driving it home we were all smiles.",3.875
5, on 06/11/08 17:47 PM (PDT),smartgriz ,2008 Volvo S60 Sedan 2.5T 4dr Sedan AWD (2.5L 5cyl Turbo 5A),S60 S is for super fast," This is the fastest car I have driven. Out of the whole its a bit tnetative but the turbo takes it to the moon. Passing cars on the highway is a kick and shooting the mountain passes is like driving grand prix. Only real downsides are rear seat has very little room (kids only) and the fuel economy is not that great, 25mpg at 75 on highway, 22 at 90.",4.75
6, on 05/03/08 07:51 AM (PDT),JimeeWho ,2008 Volvo S60 Sedan T5 4dr Sedan (2.4L 5cyl Turbo 5A),Raider," Second Volvo, sporty fun, acceleration is not fast off-the-line, but watch out when turbo kicks in. This vehicle gets-it at 40 to 90mph. Performance it's there. Doesn't have all the bells and whistles of a Lexus, but who wants that? That's for mom and grandma.",4.875
7, on 01/15/08 16:37 PM (PST),4th volvo ,2008 Volvo S60 Sedan 2.5T 4dr Sedan AWD (2.5L 5cyl Turbo 5A),Will absence make my heart grow fonder?," This is my fourth Volvo, so I guess I am brand loyal.  The AWD is awesome.  The car is heavier than my last T5 S60, although inside it is almost identical. The drive is powerful, and the acceleration with the geartronic transmission makes the car very fun to drive.  The leather, stereo, etc., is just enough luxury for me.  Sad to say I haven't had it 2 full months and it will be in the shop already because the temperature gauge does not work and the fan will not stop.  Car currently sounds like a jet plane after starting it.",4.125
8, on 11/01/07 19:27 PM (PDT),Mc Mom  ,2008 Volvo S60 Sedan T5 4dr Sedan (2.4L 5cyl Turbo 5A),Not a minivan - thank goodness," This car is fun to drive and is just beautiful to look at. It's great for driving kids around, but even more fun when you get to drive it on your own. No one will ever suspect this is Mom's Taxi. This is no minivan, but has lots of room for 5 and a huge trunk. I never thought I would drive a Volvo, but my T5 is just awesome.",4.75
9, on 03/13/12 00:36 AM (PDT),bennewing ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),The best of both worlds," I bought my S60R used with 63,000 miles and drove it 2,700 miles the first five days (a lot of travel).The car was comfortable, and I never felt tired after a long drive.The Comfort suspension setting does imitate a luxury ride, but make no mistake: this is a sports car attempting to give you a little more comfort if needed.The Volvo S60 R was made for the Sport suspension setting.This car is reliable, handles excellent, provides ample low to mid-range torque, and inspires confidence in the driver.For me:City 22mpg, Highway 28mpg.If you want to drive this car with a heavy foot, expect less.This car is the perfect balance between the daily driver and weekend warrior.",4.75
10, on 12/27/11 21:49 PM (PST),mooser ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),For a Type R Personality ," In a matter of a second my fuel sipping, turbo spooling Saab, as well as my ego, plowed into a short bus.(Literally)A week later Saab went bust.After much deliberation, I picked up a 2006 S60R with a 100,000 warranty for $16k.This car is FAST and makes the noise of 1/2 a Lamborghini Gallardo. The adjustable suspension and stereo are amazing.This car does take some getting used to, however.I cannot start the engine without feeling as though it guzzled an 1/8th of a tank.The turning circle makes you think of Kirstie Alley trying to do gymnastics, when in a parking lot.Once you unleash it on the road however, all of that disappears as fast the cars in your rear view mirror.",4.5
11, on 11/13/11 15:55 PM (PST),texasbry ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Incredible Car for the Dollar," original owner since 2006 I looked at all the usual names, Audi/BMW/Saab/Nissan but either they were more then I wanted to spend and even worse, every street is littered with them!Almost 6 years later I get into this car and still love it!",4.625
12, on 10/23/09 05:02 AM (PDT),Lynne ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Disappointed With Car, I purchased this care when I gave my Nissan Altima to my daughter due to her car being totaled.  I am totally disappointed with the care and am trading it in after only having it for less than two years.  The turning radius is bad and the main problem is the alignment.  I have had to buy two complete new sets of tires during that period.  Last time was because I had a blowout on the highway.  The alignment has to be redesigned so it isn't so sensitive to any bumps.  Car definitely didn't live up to my expectations.,2.625
13, on 12/05/08 17:40 PM (PST),IntParty ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),The stealth car... Rather the car no one knows about.,"   was stunned when I test drove it and several moments told Gary the Carmax sales man."" I like this I like it a lot, I think I'm going to take this home with me tonight."" So I took it home. I have no problems with this vehicle other then the leg room in the back for passengers. But since I rarely ever drive anyone else it's no big problem. ",4.375
14, on 09/08/08 16:10 PM (PDT),Love it! ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Love it!," I just bought my (2007) R last week, but I can tell you I love it! The car is super powerful and extremely comfortable. It is a pleasure to drive and the Dolby Pro-Logic II stereo sounds great! So far, fuel mileage is much better than expected at about 22- 24mpg around town and 28-30mpg on the highway. My only complaint is the most common one amongst R owners: turning radius. ",5
15, on 07/23/08 19:58 PM (PDT),Steve D. ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),S60R  Best bang for my buck," Bought this certified pre-owned and after only 1 week every expectation has been met. With only 22,000 miles car smells and drives like it just rolled off the assembly line. One issue I have is the summer OEM tires which are worn out. They're being replaced with Ultra-High Performance M+S Yokohoma's Advan S4. With a treadwear rating of 400 and rotation every 6,000 miles I should get approx. 40,000 - 50,000 miles out of these Yokohoma's) C4 Suspension settings >> Comfort, Sport and Advanced. I can go from a Lincoln Town Car ride (Comfort) to a race car ride (Advanced) with a touch of a button! By far the safest car on the road today",5
16, on 06/10/08 09:36 AM (PDT),Lily ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),2006 S60R," This car is amazing! Surpassed my expectations. It's fast, comfortable, sleek, sporty, sexy. Too bad she can't be driven the way she's meant to be, which is way over the speed limit! Love shocking the guys when they see a woman behind the wheel just blew away their M3.",4.875
17, on 04/28/08 17:05 PM (PDT),M Syd ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),"Redefines ""Sleeper"""," 99.9% of the planet thinks Volvo is about safe, family style vehicles. But speed trumps safety if you slap an R badge on the boot! This car is the ultimate in sexy edge exterior design and endless creature comforts. Not seats, thrones!  Ive had the car for a little over two years now and everyday I cant wait to get inside! Especially now with a custom 3 turbo-back exhaust (solves your turbo lag problem BTW). ZERO maintenance issues save for the 2006 software gremlin that magically turns your R into a 240 DL. Great Fuel economy! Performance upgrades are spendy, but TRANSFORM the car into a track warrior (can you spell IPD.com?)  I LOVE THIS CAR! ",4.75
18, on 02/02/08 21:55 PM (PST),Brnintx ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Almost Superb!," I couldn't ask for a better everyday driving car. It fast, comfortable, and safe. ",4.875
19, on 01/04/08 21:20 PM (PST),Sheldon Rabin ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),"Volvo S60R, 2006"," This S60R has had chronic suspension and alignment problems such that all 4 tires were cupped after 6000 miles. Of the 4 tires, the right-rear tire has the worst cupping.  Attempts by the dealer to fix problem were not initially pursued and are now reluctantly pursued. Ongoing",3.875
20, on 01/29/07 15:37 PM (PST),shadow ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),A dream Come True, I wanted this car for 4 years and Now I have one.  There is no more car that even comes close value and performance wise.,5
