,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 08/09/18 10:25 AM (PDT),Becky - grandma ,2018 Buick Envision SUV Premium II 4dr SUV AWD (2.0L 4cyl Turbo 6A),Fantastic Ride," Could have a little more cargo space. Front console could have space to hold 2 cans , does bot.",5
1, on 06/03/18 21:39 PM (PDT),Ron Consiglio ,2018 Buick Envision SUV Essence 4dr SUV AWD (2.5L 4cyl 6A),Perception is not always reality," My Buick Envision is an excellent machine. It's major problem is perception. It is supposed to be a luxury SUV, but when most people think of a luxury SUV, they think Cadillac, Lincoln, Acura, BMW,Mercedes or other brands. When I was shopping for an SUV, I went to a GMC dealer looking for a Terrain. The dealer also sold Buicks. I Had never even heard of the Envision. The saleswoman showed a better equipped Envision for much less than the Terrain.  Test driving both vehicles,  I liked the Envision better. Not that the Terrain was bad, but the Buick was a better value, and here lies the problem. Someone looking for a Chevy, Ford or a Japanese or Korean SUV would not even think of a Buick, just like someone wanting a ""luxury "" SUV  would probably overlook a Buick. It seems that Buick SUVS are neither fish nor fowl. So if you are considering an SUV,  give Buick a look and see if there is more value there for you",5
2, on 06/08/18 06:19 AM (PDT),Anne ,2017 Buick Envision SUV Premium II 4dr SUV AWD (2.0L 4cyl Turbo 6A),Love this car - Great value," I reviewed all types of cars and once I set my sights on this one, I had to have it.  I have been driving it for only one month and I am not disappointed.  Love it!  I saved quite a bit by buying a previously owned Corporate Lease with only 12,000 miles.  Had to have it brought up from Naples.  Must have saved nearly $10K by buying slightly used.",5
3, on 05/28/18 08:02 AM (PDT),Eric ,2017 Buick Envision SUV Essence 4dr SUV AWD (2.5L 4cyl 6A),The Essence!," I really like this little SUV / Crossover.  The dealer has let us use this vehicle while our car has been in the shop for the last 1.5 weeks and I'll be a bit sad to let it go.  I looks great on the outside and inside and I can fit my 6ft 3in 215lbs 50 year old frame into the very comfortable, heated, leather, drivers seat just fine with plenty of head room.  It's easy to get out of too and the roomy rear seat area is similar.  Our vehicle comes with heated rear seats and rear HVAC controls.  The interior is nicely equipped with faux wood highlights and panels, the dash knobs and buttons and the instrument cluster gauges seem to be well placed and the infotainment system works great other than sometimes it automatically connects to my iphone and other times it asks to connect.  This might be because the SUV is in demonstration mode... at least this is what the SUV tells me whenever I start it up.  I also like the auto open/close rear hatch.  I can adjust it so it only opens 3/4 or fully.  With it set at 3/4 I can open it in my garage.  It drives very nicely and comfortably and I have good visibility other than the front window posts are a bit thick which looks nice but sometimes can hide an approaching car.  The vehicle is punchy and takes off well when I hit the throttle hard but it obviously doesn't have the 300hp my sedan has.  It brakes well and holds a line well while accelerating, cruising and braking.  It also has the auto start feature.  It's kind of weird coming to a stop at a stop light and feeling the engine stop.  It starts right up quickly so really no complaints there, I just wish it would wait a bit longer before shutting down.  Overall, I really really like this SUV.  It's comfortable, handles nicely, has plenty of comfort features, quiet and seems well made.  That being said, there's only 5k miles on it and I've only had it for a week and a half.",5
4, on 05/25/18 06:57 AM (PDT),Ernest ,2017 Buick Envision SUV 4dr SUV (2.5L 4cyl 6A),Auto stop," The auto stop , when engaged and taking the foot off the accelerator while sitting on a incline it will freely road back before engaging accelerator.  We have almost rolled back on cars behind us when stopped.  Also, when engaged, the air stops blowing",4
5, on 04/04/18 15:15 PM (PDT),basscatarcher ,2017 Buick Envision SUV Preferred 4dr SUV (2.5L 4cyl 6A),auto start/stop, This and this alone is causing me to get out of this otherwise fine vehicle. Worse feature ever on a vehicle. Good by buick!!! You are very dumb for not making this an option.,3
6, on 03/27/18 20:11 PM (PDT),Venice Guy ,2017 Buick Envision SUV 4dr SUV (2.5L 4cyl 6A),2017 Envision Auto Stop., 2017 Buick Envision. Would not buy this car again. #1 Auto Stop is the worst feature ever put in a car. Terrible. Would pay big bucks to have it disabled. #2 100% made in China.,3
7, on 03/21/18 19:34 PM (PDT),Donna Allen ,2017 Buick Envision SUV Premium II 4dr SUV AWD (2.0L 4cyl Turbo 6A),No CD player," I purchased  a Buick Envision a little over a year ago.  I discovered shortly after completing my purchase that my new car did not have a CD player.  While I love my Envision, the fact that I do not have a CD player has plagued me for the last year.  I have downloaded to a flash drive and it is just not the same as having control over my what I want to listen to. I even went to Best Buy today to see if they had a cd/mp3player that would work in my car.  They don’t.  Bottom line.  I WOULD NEVER HAVE BOUGHT THIS VEHICLE HAD I KNOWN THAT I DID NOT HAVE A CD PLAYER.   I Guess it’s back to BMW for me.",1
8, on 02/24/18 21:15 PM (PST),Randy King ,2017 Buick Envision SUV 4dr SUV (2.5L 4cyl 6A),Sidetracked, Planning on buying a Lexus RX350 or Range Rover Evoque and got sidetracked by this vehicle.  Saved thousands and have what I consider a premium SUV.,5
9, on 01/03/18 07:09 AM (PST),Cal south ,2017 Buick Envision SUV Essence 4dr SUV (2.5L 4cyl 6A),Cal South," Smooth riding, good mpg, nice comfortable ride and quiet.",4
10, on 12/22/17 10:29 AM (PST),Cindy Smith ,2017 Buick Envision SUV Preferred 4dr SUV AWD (2.5L 4cyl 6A),Lilly white dream car," This is the second car I've bought there , love my car.",5
11, on 12/13/17 01:47 AM (PST),Gary ,2017 Buick Envision SUV 4dr SUV (2.5L 4cyl 6A),Poor head lights, Night time driving is poor with the dim / bright lights! Not even close to the old head lights !!,1
12, on 11/26/17 20:28 PM (PST),Sandy Tate ,2017 Buick Envision SUV Essence 4dr SUV (2.5L 4cyl 6A),First time Buick Owner," I have been a Honda owner since 2001, & just happened to look at this Buick Envision. Wow! I love everything about it!  What is vey important to me is the visual views from inside a car. One must be able to see all around you. It has the blind spot indicators as well as the back up camera. The one thing this car could improve would be, to be the premier package, WHICH HAS EVEN MORE SAFERY SENSORS!  I love driving this Buick.",5
13, on 11/15/17 17:38 PM (PST),MSD ,2017 Buick Envision SUV Premium I 4dr SUV AWD (2.0L 4cyl Turbo 6A),Buick Envision Sporty Midsize SUV!," Fell in love with this vehicle after renting the standard model for a week on a business trip. Drive almost any other midsize suv after driving the Envision, and you will really notice the difference. One of the only vehicles, where the engine is not directly mounted to the frame. Very little vibration, quiet, smooth ride for a midsize suv. Handling and braking is great! We leased the Premium 1 with the Turbo. Very lineal torque curve, not a lot of down shifting on the highway. Smooth 6 speed, and no engine noise except when you accelerate. Interior fit and finish is excellent. Highway mileage was 26 mpg on our first highway trip. If the start stop feature bothers you, just shift it into ""L"" and click it to 6. It will cancel out the stop start feature. Very happy with this selection.",5
