,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 11/10/17 22:53 PM (PST),V MEL ,2014 Acura RLX Sedan Technology Package 4dr Sedan (3.5L 6cyl 6A),Good car," This Acura RLX  has been a great vehicle for my family. The good part of the ownership experience is the size of this car. I am 6'-2"" and I am very happy with the legroom I have on both front and rears seats. The car is much more roomier  than appears on outside. I can complement on the quality of the interior materials; it is made very nice, the cabin is surrounded by by soft materials wrapped in the high quality leather; there are not many plastic parts around like in the similar class Lexus car. Very comfortable large seats, I like them better and think they are more comfortable than E-class Mercedes; nice large armrests. The control buttons and vents don't seem wear off like on most of European luxury cars.  This car has a very sensitive breaks; it will stop dead in a very short time. One of the best features I like is the headlights. The optics of the headlights  ""jewel eye"" look very attractive and deliver one of the best driving experiences at night; road signs reflections look  like LED TV screens.  Infotainment system is great and very easy to use. I found it much more convenient than E-class Mercedes. I like rolling volume control on the steering wheel instead of + -- volume bottoms. I like touch screen and how it gives vibrating feedback. I don't know why so many ""expert"" reviews are complaining about how confusing the infotainment system is. I found it very easy to use. I like the climate control in this car. The front seats heat up very fast and air fans are very quiet in a high mode, unlike Mercedes or BMW. The average gas mileage is 23 mph in mixed city/highway use which is very very good for this size car with 310 hp engine.  So far I don have any mechanical or electrical problem with this car.  Very, very reliable car 5+++.          Now about the negative experience: First, suspension, suspension, suspension. The car drives like an Amish buggy on a bumpy road. 19 inch wheels with low profile tires make it even worst. The rear suspension is so stiff it sends pain in my spine every time the car goes over a bump. It is far from a luxury riding experience. I wish they have sport and comfort suspension modes to switch. I think this stiff suspension helps to transmit road noise to the car's body even though Acura advertises its noise cancellation technology and hollow wheels which suppose to reduce the road noise. However, I cannot say there is much road noise, but I am sure Mercedes E an Cadillac CTS is more quiet.   Second is the gear shifting. It is also rough. When I try to accelerate fast, every time the gear shifts it rocks my body back and forth.  Third, is the gear ratios. The car quickly goes to very high RPM during even mild acceleration. It creates unnecessary engine noise and makes it hard to control the car on the road.  During ""normal"" driving mode the car acts like most of luxury cars would act in the ""Sport"" transmission mode. Forth, is the line departure alarm, blind spot and breaking warning alarms. I wish Acura change it from beeping sound warning alarm to vibration warning like it is done in Cadillac or Lexus cars. When I listen to music or radio, all these warnings become useless; I just cannot hear the beeping warning sound while music is playing. Fifth, the exterior assembly quality. The body parts are not lined as is suppose to be lined. Rear trunk lid does not line with rear fenders, I checked with dealer and it appears on all 2014 RLX models. Front hood/fender gaps are not consistent.  It gives an impression like this car has been in a car rack and having some frame damage.  After driving this car for 115K the P-AWS RTC actuators began to moan when making small turns. It is not critical, but I know I have to replace them soon. The bottom line is: I like this car and I think I will keep it for a couple more years. I would not recommend this car for a person who likes comfortable Cadillac-style ride. However, for a younger person who likes to drive fast alone, for aggressive  driving style it could be a good choice.",4
1, on 07/03/17 09:06 AM (PDT),RLXer ,2014 Acura RLX Sedan Technology Package 4dr Sedan (3.5L 6cyl 6A),RLXer, Fast lots of room good gas mileage if you keep your foot off the accelerator,4
2, on 01/02/17 17:02 PM (PST),Dpaprocki ,2014 Acura RLX Sedan Advance Package 4dr Sedan (3.5L 6cyl 6A),Wish I had a better RLX story," 2014 Acura RLX, with advanced package, purchased 3/14 at Pleasanton Acura•	On going electrical, entertainment system, fit and finish, suspension, electronics, backup camera, accessory issues:•	13 visits to dealer on car issues•	18 days the car was at the dealers for repairs•	4 immediate returns to the dealer due to repairs incorrect or not complete•	4 sessions working with dealer service personnel to show them how to debug issues; DTS audio, USB file interface, battery cell failure, internal recirculating fan•	2 wheels bent due to road damage•	0 time I have had wheel damage due to road damage on other vehicles•	1 factory wheel cost covered cost for 4 new wheels and tires in aftermarket•	>40 hours, amount of time spent dealing with car problems•	1 safety issue, video recorded, which Acura says they will not fix•	4 videos recorded to show problems to service personnel because their first response is customer did something wrong•	14 weeks to get request to Acura customer service denied•	12 times I tried contacting Acura customer service•	3 times Acura customer service contacted me•	1 time Acura customer service told dealer not to talk to me•	10 emails to dealership and Acura management•	0 responses to email•	1 commute car purchased as I am worried RLX cannot stand up to commute and warranty is almost overEngine, LED headlamps, Sound quality are fantastic.  Car has low resale value as my experience does not appear to be unique.  So I have to chalk this up to a very expensive lesson.  While the car is disappointing the response of the dealership and Acura/Honda customer service was more  disappointing.  Acura buyer beware.  You are welcome to contact me and I can share the details of my experience and point you at my files and the videos of the problems I have had.Dave Pap Rocki, [contact info removed]",1
3, on 02/22/16 14:48 PM (PST),Ed Koval ,2014 Acura RLX Sedan 4dr Sedan (3.5L 6cyl 6A),Almost Perfect," There is a lot to like about this car, and frankly little to not like.  The only two gripes I have are (1) the low profile tires result in a ride that is busier than should be of a luxury car, and (2) at 6'1"", my head just barely misses hitting the headliner.",4
4, on 11/02/15 18:50 PM (PST),SS ,2014 Acura RLX Sedan Navigation 4dr Sedan (3.5L 6cyl 6A),"Overall, great car but it does have some problems"," I'm very happy with the performance, handling, ergonomics and fuel efficiency. The only major complaint I have is with the battery going dead when the car sits for more than 2 days. I suspect it's a parasitic draw, possibly from the HFL module. Taking it back to the dealer and plan to leave it with them until they fix it. Apparently this is a problem with Acuras and I will not recommend buying this model, or any of the other ones, until they address it.",3
5, on 10/23/15 23:45 PM (PDT),Jacqueline Scott ,2014 Acura RLX Sedan Navigation 4dr Sedan (3.5L 6cyl 6A),"Drives Great ""IF"" You Can Get it to Start!"," Purchased my 2014 RLX in May 2014.  Other than the fact that the engine was kind of loud, and the car did not come with a spare tire of any kind, I was in love with my RLX the first time I drove it.  My favorite feature is the All Wheel Steering; I love the way the car handles.  What I don't love is that something keeps draining the battery.  The first time my car failed to start was in Jan 2015, eight months after I purchased it.  This happened again in Sep 2015. The car was completely dead both times; wouldn't make a sound.  I had to call Acura roadside assistance to jumpstart the car each time.  The car was taken to the dealership after each incident and they could not find what was causing the battery to drain, or any other problem with the vehicle.  I have also had problems with the touch screen going blank, Forward  Collision Warning activating for no reason,  the Bluetooth/phone screen not responding, and voice activation not working properly.  The Navigation system doesn't work very well either, once you ""finally"" figure out how to use it.  I have had several problems trying to get the system to find addresses.  The search feature doesn't do a good job of keying in on your current area for requested searches, not to mention, maps are outdated.  As much as I like the Acura RLX, It is unreliable, so I would not recommend it to a friend or anyone else for that matter.",4
6, on 07/24/14 10:15 AM (PDT),billg8 ,2014 Acura RLX Sedan Navigation 4dr Sedan (3.5L 6cyl 6A),Really Good Car," This car is alot better than reviewed from my perspective. I think the issue is this:This DOES NOT compete with the BMW 5 series or MB E-Class (regardless of what Acura would like)...really more like Lexus, Infiitniti or Lincoln based on my experience.That said, based on actual purchase price-- strong discount to MSRP/Invoice so well below BWM/MB this is a high quality, nice driving (love teh AWS) vehicle. My personal feeling is, while not flashy, the car is also sophisticated looking. So far I'm very pleased with the overall package",4.75
7, on 05/07/14 16:15 PM (PDT),s_sc ,2014 Acura RLX Sedan Advance Package 4dr Sedan (3.5L 6cyl 6A),Bad design or bad quality?," I bought my RLX-ADV about 4 months ago and only put on about 1500 miles so far. I have already took it back three times for repair. There were iPhone 4S issue (automatic dial out and hang out), low battery and charging system warning sign(happened in less than first 50 miles), and camera too hot/LDW, LKAS shut down (90 degree outside) during driving. Dealer recharged the battery, but no action to other issues. Dealer and Acura insisted the shut down is the proper action by design. SF Bay Area is known for good climate. The LDW, LKAS shut-down happened multiple times in April. I really wonder what the car would do in Summer! Update on May 2016:Here are updates on the issues I reported. After two battery charging visits,, my dealer finally declared that it had a bad battery. I got a new battery in less than 12 months since owning the car. The charging issue was resolved. I do not have any phone issue now, either. It went away after I upgraded my phone to iPhone 6S. Honestly, this might be a problem of Apple, not Acura. However, the most important LDW & LKAS shut-down persists! It consistently shutting down these important safety features when outside temperature is around 90 degrees. I gave up fighting with Acura since they insisted this is a necessary precaution to protect the delicate electronic system. I am really disappointed. I spent extra money on this car since it was promised with these safety features. Acura sold me an ill-designed product that takes protection of car as priority over the driver!Update on May 2017:The LDW & LKAS shut-down is still a big problem! I have already experienced twice this year. Both times occurred when the temperature went up to low 90's. I am an unsatisfied customer of Acura!",3
8, on 03/10/14 19:08 PM (PDT),rlxregrets ,2014 Acura RLX Sedan Technology Package 4dr Sedan (3.5L 6cyl 6A),RLX Rattles down the road since purchase- no solution," I noticed rattles coming from front suspension after 500 miles. Brought it to the dealership and they couldn't find anything wrong with it. Dealership reported service rep had the same problem but worse after 7k miles. After another 2k miles the rattles increased in frequency and loudness from all 4 wheels. Dealership replaced front struts which resolved a majority of the rattle but the rear rattle persisted. After another visit, the replaced the rear rattle. The rear is better but now the front is ever present over every bump. When I had a 2014RLX loaner the vehicle had the same issue as both mine and the service reps car. Cant believe engineering isn't all over this issue. Beware of RLX.",2.625
9, on 08/11/13 18:33 PM (PDT),gman124 ,2014 Acura RLX Sedan Navigation 4dr Sedan (3.5L 6cyl 6A),nice car," all in all, a very nice car. but not sure if i would lease it again given the opportunity",3.75
