,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 08/05/18 06:43 AM (PDT),Gary ,2018 Alfa Romeo Stelvio SUV Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),Still  a lot the improvement to be done. Overprice, Car is extremely overpriced. Some models do not have spare tires and  you can not get one. They charge for color brakes. Ridiculous. Overall car can not compete with Q5 and X3,2
1, on 06/30/18 12:26 PM (PDT),Roxy ,2018 Alfa Romeo Stelvio SUV Ti Lusso 4dr SUV AWD (2.0L 4cyl Turbo 8A),Perfect SUV," This car checks all the right boxes and is a unique vehicle, unmistakeable and stylish. Finally an Italian SUV with verve and style, and the best performance in its category by a wide margin",5
2, on 06/26/18 16:50 PM (PDT),steve engles ,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),This is THE SUV to drive!," After doing a ton of research from car sites, car magazines, owner reviews, I took a test drive and was hooked.  The Stelvio turns heads---as you pass other cars on the freeway--or in parking lots.  If you use the Dynamic mode, you will witness ""Star Trek"" in this SUV......it moves!   But, if you use Eco Mode, OK, a little slower but saves on gas (premium only).  DON'T buy a base model--there are cool extras (safety, rims, trim, nav, moon roof, etc) that cost a little more but WORTH every penny on the Ti and Sport models.  I have 2500 miles after only 60 days of driving and can honestly say "" this is one of the best cars I've EVER owned ""  and will trade this 2018 in on the next Stelvio version.  Only drawback--you may have to really look for your desired Stelvio with the equipt you want-----they are not plentiful , especially in the western US.",5
3, on 06/25/18 20:34 PM (PDT),Alexis ,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Amazing bang for the buck!, This is a luxury SUV that drives an handles like a sports car!  It is one of the sharpest looking SUVs on the market.  The exterior and interior design are top notch.  I have the beautiful metallic green exterior with tan leather interior with the sport seats.  They are supportive and very comfortable. The interior is well insulated with minimal road noise.  This SUV takes off like a rocket so merging onto the Interstate where everybody is doing 75-80 mph is not a problem. I enjoy driving this vehicle even more than the 370Z Nismo I used to own and that is quite a complement. The only thing I can even think of to improve upon the Stelvio is that I wish I have a few more presets under the favorites section of the radio but it is so easy to browse and select other stations that is a very minor thing.  The visibility is excellent and since the Stelvio is so responsive I feel very safe while driving it. I made an excellent decision when I decided to lease this car.  I will probably buy it at the end of the lease unless I decide to get the new Guillia coupe coming out in late 2019.  I love Alfa Romeo and it sister company Fiat.,5
4, on 06/24/18 17:10 PM (PDT),Ann Ky ,2018 Alfa Romeo Stelvio SUV Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),Best Engine and Handling SUV," NY DailyNews 06/22/2018 article  : "" The 2018 Alfa Romeo Stelvio will impress you with these 8 desirable traits… but it also comes with a weakness. "" http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-alfa-romeo-stelvio-list-article-1.4040796 They only can point out "" one weakness"" : that is the ""smaller""  cargo hold, ! Actually it's not bad at all. Similar to Audi Q5, bigger than Mercedes GLC, Land rover Discovery Sports.  The bigger SUVs with more cargo space are Mercedes GLE , BMW X5, Land Rover Velar. Those are much bigger SUVs with much worse Gas mileages, and also will cost you much more ! Plus, they do not have the Stelvio's ENGINE , Handling, and the "" Look "" !! Not even need to mention Acura RDX or Lexus RX 350 .  Buying Tips : Buy Ti then adding Sport Package or other , not to buy '' A regular Stelvio with adding other extra "" , the price will be similar. The salesman got confused sometimes. Ti got spacial wood trims. One thing I like to point out : there is no place for the front license place. The NJ / NY law requires two plates, one for the front, another one for the back. My sales lady said that all buyers so far are taking their chances. ( by leaving one plate inside.)",5
5, on 06/22/18 11:21 AM (PDT),Otis patterson ,2018 Alfa Romeo Stelvio SUV 4dr SUV AWD (2.0L 4cyl Turbo 8A),My alfa stelvio review!, Love the truck is had minor software issues but the ride quality is n a class all to its self! Love it!,4
6, on 05/30/18 18:51 PM (PDT),Lars Anderson ,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Italalian Uniqueness," I have 10k miles and no problems except recall notice on some molding and an oil change light that only the dealer can turn off. Annoyances are attenuated by all the important positives. Negatives are parking sensors and no Apple CarPlay on my version. Positives well balanced tracking and traction, steering feel, comfortable seats, adequate sound system, good mileage (26 mix and 30 hwy), adequate visibility for styling, very quick, dynamic mode, styling, light projection and unique. Very easy to drive and park minimizing fatigue during hour long commute.",5
7, on 05/30/18 01:43 AM (PDT),Matt Barry ,2018 Alfa Romeo Stelvio SUV 4dr SUV AWD (2.0L 4cyl Turbo 8A),"The Good, The Bad and the Ugly"," THE GOOD: Lease Deals - Handling - Style - Prestige - Different  THE BAD: Nav System Out-of-Date and Touch, Can't Answer Phone When Backing Up  THE UGLY: Non Touch Screen, No Spare Tire, Have to Push a Button Every Single Time You DON'T Want Engine-Turn-Off-At-Idle, Reverse Camera Screen Smaller Than an Ant, Stereo System Needs Severe Upgrade For a 48,000 Car.",4
8, on 05/15/18 18:21 PM (PDT),Murtaza Hussaini  ,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),New Alfa owner. , By far the best looking suv in the market.  I got the tropheo white with red interiors. It truly is a delight to your eyes. Not a big fan of their infotainment/ navigation system. It seems a bit dated for the car. Handling is decent. I wish if the had a six cylinder with output in the 300s. The sport seats really have you tucked in. The rear view would take time to get used to. ,5
9, on 05/02/18 13:53 PM (PDT),Joe M ,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Alfa Stelvio all the way to go, If you are looking for a plain and simple looking and performing vehicle forget about getting the Alfa Romeo Stelvio. The vehicle is quick with the 8 speed automatic transmission around town and is very impressive looking. I am sure it will be the best vehicle I ever had. If you have the bucks get the Quadrofoglio. With over 500 HP it is currently the fastest SUV on the road.,5
