,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 04/30/18 13:42 PM (PDT),Gary Fenn ,2013 Bentley Continental GTC Convertible V8 2dr Convertible AWD (4.0L 8cyl Turbo 8A),Great Car to drive., If there is one car that stands out above others is the v8 GTC. I have owned her for the past 5 years with 5k miles. We have enjoyed every mile we drove.,5
1, on 05/19/13 08:11 AM (PDT),mww824804 ,2013 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),Best Luxury Sports Car on the Market ," Very few cars that cost upwards of 200k make sense to purchase. However, with the Bentley GTC you definitely see where the money goes. With custom interiors, hand-crafted seats, and an exterior unmatched by anything else, Bentley really does know how to build a car. After driving mine for about a year now, all I can say is how timeless of a car it really is and will continue to be.",4.75
2, on 09/20/12 10:30 AM (PDT),lee1970 ,2013 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),Our Bentley GTC was a LEMON!," Got a brand new 2012 Bentley GTC in April 2012. It was a lemon. Lots of problems. Broke down twice. Terrible car. The car was sold to me with defective tires too. They had to replace them. It was in and out of the shop all the time. The dealer (Bentley Naples) was a nightmare to deal with as well. Filed Florida Lemon Law. Vehicle was bought back by Bentley as a ""manufacturer buy-back"". Got full refund. Would never buy a Bentley again or recommend this vehicle to anyone. They tried to make me a sign a non-disclosure document to prevent me making this public. I refused. They told me that is common practice. I asked why. They said to protect the brand name.",1.5
3, on 09/07/17 10:58 AM (PDT),Ray ,2007 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),Stunning. My 5th bentley since 1955, Be prepared for pure bliss!,4
4, on 04/16/10 16:38 PM (PDT),Travis ,2007 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),Disappointed," I just decided to treat myself, and while shopping came across an 07 with 15k miles on it, beautiful car, but the transmission was bothering me by the way it shifted on the test drive.  The sales rep swore it was normal, but after driving for the last 33 years, I know what a transmission should feel like. Decided not to get this one, but will continue to look.",3.625
5, on 01/24/08 20:13 PM (PST),John Lander ,2007 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),GTC Bentley Quality Sinking Like Benz," This vehicle has a beautiful interior, but that is about all I can say good about it.   Handling is reminiscent of my 10 year old Rolls.   I thought this car would be much tighter, and squeak free,  just not the case.   Electronic gremlins, including a very slow downshift automatic transmission.   Dealership says ""everything is normal"".  We will now be selling a pretty new car.",2.375
6, on 12/25/07 13:57 PM (PST),jim ,2007 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),Best of All 3!," I've owned a GT, Spur and now the GTC and this is the best of all three. Better drive/ride/handling than the GT and Spur - AND, as of 2008 model, they've eliminated all the kinks/idiosyncs out of the electronics, esp. the phone and nav. system from the earlier models.  The GTC is a joy to drive and a head turner.  Build quality is better than ever and the sound system, in a word, spectacular.   The GTC is, in a word, masterful.   Even the Breitling clock is improved!",4.75
7, on 02/13/07 13:32 PM (PST),Bodacious Bentley ,2007 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),The Best," This car is truly amazing. Having come out of Mercedes SL55s and Porsche 911s, I can only say this is an incredible blend of muscle and sheer elegance.",5
8, on 01/08/07 15:08 PM (PST),Joseph Connor ,2007 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),My Dream Car," I just bought my first Bentley (Continental GTC) for myself for Christmas. I have a Ferrari 306 Modenna Spider and this Bentley to my amazement could easily outperform it.  If you're looking for extreme style and class while getting the performance of a Ferrari or race car for not too much money (if you're already in this market), this is a win, win, win, win situation.  I promise you'll be happy and proud you bought this car.",4.75
9, on 12/31/06 20:00 PM (PST),JA ,2007 Bentley Continental GTC Convertible 2dr Convertible AWD (6.0L 12cyl Turbo 6A),Continental GTC, I have had the Bentley Continental GTC for about one week now. It is a real blast to drive. I am planning to get rid of my older Bentley GT because this one is so much fun to drive! The interior is the best part of the car. The leather is like no other car in the world! The GTC drives so nicely I prefer to drive this over my Rolls Royce Phantom. In my opinion this is Bentley's best car yet!,4.75
